,lat_values,January,February,March,April,May,June,July,August,September,October,November,December
0,32.5130890052356,34.344090875223664,42.90191352116704,40.2493801776258,19.476945548273598,5.024341911448856,0.8877893312385025,0.8850992216014376,0.9683040131434951,3.075031690911071,9.411851031170444,17.027393543004575,28.707269090840892
1,33.455497382198956,49.74072706144546,61.467495766334274,54.53065936116625,25.241180970098267,6.583003736583756,0.9371823180457923,0.7047104501911429,0.6183167150189247,2.1305197949362658,8.691503162581558,21.62831091694156,39.85841236795424
2,34.3979057591623,72.29653892099117,86.09910295087656,73.6636013233148,33.76219892624281,9.538320593548306,1.2185141496320242,0.5964078068227955,0.5911408006808089,2.248900706556932,10.090625976746393,29.43518706543514,57.516488915842565
3,35.340314136125656,89.59630809810614,100.57376455235654,85.74928830913295,41.39202263331042,12.762160818406084,1.904391440128217,0.6246404339491557,0.5462083195591383,2.074548690521331,11.234493829891099,39.22727666553947,74.59891868223932
4,36.282722513089,106.24541477399862,112.99668179051508,94.39596269382555,46.34926214676129,14.466770994328048,2.6187576158691823,0.8229836141616416,0.620393696437285,2.2002175471405305,12.829141560706562,50.55117540927049,91.22118733064846
5,37.225130890052355,134.40910176607017,134.73789182132484,111.73646481682245,55.85244072807514,18.325987363523737,3.2440141697716425,0.6962667716550065,0.5272016933649271,2.719283254584856,17.134441427737386,68.77948505238002,119.3814839186251
6,38.16753926701571,147.77484612819865,142.10370885106573,116.3845443333467,59.56018956288581,19.746080676087825,3.9729931141290042,0.8482757418069415,0.6355774512975891,3.7235561026750705,21.380572579435256,82.85292261474473,133.81637193909498
7,39.10994764397907,187.76174294901062,171.63388948162145,139.63858968057846,71.77042103746936,24.10653986925411,5.216288285779634,0.9052507448454844,0.6978913055736646,5.070592193881711,30.57522601595748,113.29052734957571,175.5824793025712
8,40.0523560209424,215.60543166806966,188.25544164231337,154.49696438370387,83.7670021981073,29.68622453846224,7.803520859302486,1.705945875946405,1.3857468171820004,8.552663789989943,45.106117016965264,145.09665600114738,208.71155673465955
9,40.994764397905755,217.54594962084897,178.90200977192802,150.4571963681853,86.60276329152889,32.953248220940644,10.143876250549582,2.224149927944195,1.6991031470979288,11.421848618315497,56.32673494992414,163.82976153027988,222.28494060116827
10,41.93717277486911,227.60311680189486,179.18950232389074,153.78294942982873,92.44981245863583,37.205544011094176,12.494940231216168,2.7826252442066597,2.161221883908031,15.822334873775986,71.70648585806876,186.6327859852101,241.06792490213303
