,lat_values,January,February,March,April,May,June,July,August,September,October,November,December
0,32.5130890052356,45.1044783373591,57.281019896384734,36.189315817707936,11.162710556787337,2.410435142018314,0.9892434674584202,1.4897894054878917,1.393976319933103,2.469387738996496,7.494798712213006,13.564921369022795,25.882014794275165
1,33.455497382198956,68.9133119203792,83.96699303482352,50.253255410689036,15.29903890142838,3.030576044910898,0.9494507468326224,1.3919106458396544,1.160448746588081,1.5724790722007551,6.884227455757144,16.93835051959795,38.714223621599395
2,34.3979057591623,100.89079649602581,117.78205752633099,69.42022288454491,21.461074223996455,4.247603912169323,1.019303489341918,1.1259693216428988,1.0009415800414152,1.673220869743576,7.991467753547349,23.094902444274894,57.690839681521894
3,35.340314136125656,122.59482393350041,137.30525118926744,84.34918879538776,28.091622896347605,5.952405837099585,1.3234360732903907,1.0630519881658256,0.9445307217766012,1.4461696410530973,8.567252176004564,31.443682571490193,75.43602556440564
4,36.282722513089,142.10365914362168,153.10701263497273,96.01636391823489,33.00880858929207,7.406111312287135,1.868786061989764,1.3186806574194796,1.0659981706883344,1.4781191715308362,10.074920684724217,41.9435906844048,94.07952474537822
5,37.225130890052355,175.4308411197116,180.06633359851523,114.42035993317347,40.86888746793485,9.38445758242367,1.9677127528852894,1.0936261501846212,0.8479421717652846,1.685365689307865,13.605822050960523,57.910326645111454,124.43791819562098
6,38.16753926701571,192.25202162528615,188.62202581137834,121.61955845415591,45.40185774729897,10.966210925786028,2.431102636040499,1.2097689387264352,0.9526685979196594,2.2265861357520853,17.91505019298031,71.88996288103775,144.50944846239148
7,39.10994764397907,237.41166904800474,223.93048510822987,144.88887757698694,55.66344113558944,13.837362769900093,2.839940531942993,1.2772414715836446,0.9979065434282853,2.886449593481505,25.87366272863415,100.70242060630687,190.3420271353175
8,40.0523560209424,263.317163150145,242.36466305568814,161.54091450803804,67.59912648109923,18.542947128756595,4.7617064359204635,2.328341184910387,1.7431261372297169,5.173935743719339,39.79764236310083,135.8967445759641,229.19777192102532
9,40.994764397905755,254.5373010020124,225.5600454308093,157.50883369849785,72.30893245630793,21.76582213142266,6.180444156593746,2.6880559932937222,1.807606470437927,6.561744551321285,50.207306230488335,158.45335114081698,243.42275068746676
10,41.93717277486911,256.8597898142868,219.67819214705787,160.32621181421806,79.55785138087138,25.518579495596807,7.250338332179107,2.7101295835297146,1.8447253914218815,8.81988781977031,65.0769148672703,185.78835033482966,262.6039033942752
