,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,101,102,103,104,105
1920-1921,247.47222900390625,205.4615020751953,412.62078857421875,360.4579772949219,494.89874267578125,109.63658905029297,255.3990478515625,166.15724182128906,301.8642272949219,246.10658264160156,883.9777221679688,576.2401123046875,391.548095703125,350.6707458496094,290.4761657714844,246.4688720703125,300.811279296875,80.74513244628906,265.85003662109375,269.3410949707031,413.0386657714844,273.7636413574219,668.3615112304688,570.0631103515625,23.248212814331055,387.86016845703125,298.9820556640625,156.04580688476562,109.24211120605469,1208.9051513671875,257.5111389160156,194.44444274902344,337.5680847167969,273.0242004394531,220.90304565429688,257.7048034667969,106.51321411132812,124.14381408691406,232.70394897460938,144.66726684570312
1921-1922,155.82644653320312,258.47308349609375,270.13201904296875,133.95262145996094,519.5764770507812,309.5049743652344,202.7029266357422,138.75393676757812,208.8463897705078,241.55528259277344,1284.613037109375,359.61834716796875,311.5003967285156,255.20263671875,774.0116577148438,255.47911071777344,880.5772094726562,232.68382263183594,396.29168701171875,614.3001708984375,508.7357177734375,354.244140625,643.3916625976562,503.6094970703125,335.02069091796875,295.5356750488281,214.3054656982422,220.8855743408203,191.13168334960938,359.787353515625,320.595458984375,1041.112548828125,248.42898559570312,269.8180236816406,260.6569519042969,473.19287109375,623.8916625976562,578.0791625976562,701.2529296875,253.1106719970703
1922-1923,185.4338836669922,427.0415954589844,782.161376953125,273.8253479003906,292.53448486328125,308.62530517578125,304.8194580078125,427.3494873046875,121.34929656982422,366.6664733886719,170.9960479736328,671.038330078125,153.11277770996094,124.34732818603516,122.55057525634766,108.2005386352539,155.64381408691406,250.63804626464844,392.70330810546875,344.74835205078125,348.9387512207031,901.6685180664062,787.6043090820312,151.706298828125,680.4727783203125,285.508056640625,390.5631408691406,717.2818603515625,54.43732452392578,164.80355834960938,500.00921630859375,501.39935302734375,492.50201416015625,53.353633880615234,178.4940948486328,274.8058776855469,823.887939453125,262.2861022949219,211.2982940673828,277.62939453125
1923-1924,384.9992370605469,202.57469177246094,328.8872375488281,250.04580688476562,158.49952697753906,422.3658142089844,349.628662109375,183.5526123046875,526.7385864257812,533.92041015625,200.89219665527344,347.3725280761719,263.3937683105469,210.7883758544922,414.3612365722656,177.83604431152344,125.08283233642578,312.7044982910156,175.25045776367188,142.14747619628906,364.4571533203125,740.1506958007812,258.82623291015625,199.64968872070312,404.6824645996094,211.47299194335938,425.61932373046875,185.1345672607422,206.89804077148438,212.29232788085938,755.5604858398438,253.56288146972656,192.86500549316406,287.5317687988281,165.21290588378906,284.4953308105469,670.202880859375,311.1472473144531,80.98544311523438,606.3114013671875
1924-1925,390.02557373046875,244.38682556152344,432.74127197265625,305.64996337890625,605.50390625,328.06549072265625,467.3365783691406,94.73442077636719,288.1079406738281,405.60845947265625,230.5200958251953,453.95294189453125,597.655029296875,83.72469329833984,136.37649536132812,222.8125,266.23907470703125,322.0974426269531,194.52072143554688,214.7136993408203,204.35763549804688,526.535400390625,120.53715515136719,229.38369750976562,200.1376495361328,69.54239654541016,138.7615966796875,305.9548034667969,607.16064453125,283.8392333984375,442.34222412109375,189.80262756347656,658.1792602539062,447.5207824707031,395.53912353515625,258.74932861328125,164.8023681640625,385.1597900390625,261.4840393066406,52.51424026489258
1925-1926,120.71257019042969,400.30841064453125,368.4806213378906,457.9380187988281,1026.3392333984375,502.8934631347656,272.3515625,62.35493850708008,212.8686065673828,116.80973815917969,182.30181884765625,64.86588287353516,300.1485900878906,521.4615478515625,140.11488342285156,213.23301696777344,577.9571533203125,199.94273376464844,530.3779296875,243.77798461914062,110.13081359863281,347.2513732910156,308.6474609375,229.31011962890625,616.5150146484375,431.4339904785156,242.082275390625,325.4234619140625,315.026611328125,128.1823272705078,517.0198974609375,202.2115936279297,436.52520751953125,232.1509552001953,153.80789184570312,338.5799865722656,244.70606994628906,528.103271484375,296.8348388671875,817.8019409179688
1926-1927,410.6800842285156,182.89364624023438,212.6203155517578,310.9736328125,443.44659423828125,199.0267791748047,101.25206756591797,345.30517578125,221.92747497558594,362.43707275390625,217.14071655273438,673.2907104492188,145.3877410888672,376.26885986328125,152.03578186035156,768.5748901367188,373.82073974609375,149.6509246826172,149.5656280517578,381.7967529296875,997.6505126953125,339.06884765625,128.5648651123047,727.912841796875,712.6159057617188,428.8443603515625,656.03857421875,326.3793640136719,186.79971313476562,339.3073425292969,269.5847473144531,167.96568298339844,165.80697631835938,281.3586120605469,233.5348358154297,160.9020233154297,137.16378784179688,307.7480773925781,652.3430786132812,527.8087768554688
1927-1928,118.74238586425781,88.83381652832031,253.08790588378906,225.817138671875,188.07754516601562,300.83447265625,176.98025512695312,196.14077758789062,662.1452026367188,270.4542236328125,547.470458984375,164.28224182128906,161.01449584960938,58.57542419433594,513.9223022460938,284.552734375,189.8630828857422,352.6869812011719,136.3182830810547,468.0576477050781,250.16363525390625,273.26068115234375,183.10107421875,569.359375,363.7908935546875,400.4391784667969,231.06565856933594,262.2264709472656,168.9844207763672,189.55209350585938,397.7974853515625,193.36695861816406,85.01290130615234,280.96295166015625,191.6094207763672,173.82626342773438,235.27572631835938,289.0977783203125,803.314208984375,221.23101806640625
1928-1929,257.03668212890625,162.97900390625,388.9577941894531,168.3900909423828,286.705322265625,704.07861328125,471.47869873046875,216.8433074951172,330.16357421875,189.47474670410156,203.0563201904297,203.41851806640625,193.8688507080078,220.11865234375,518.0380249023438,146.4666290283203,299.5598449707031,357.210693359375,503.33331298828125,385.5330505371094,272.45452880859375,408.9542236328125,430.6427307128906,293.9422607421875,233.04469299316406,550.56201171875,133.41064453125,223.22164916992188,158.5272674560547,912.729248046875,491.0189514160156,220.8759307861328,99.5942153930664,279.6700134277344,729.609375,134.0496063232422,307.9164733886719,579.7570190429688,461.398681640625,150.22950744628906
