,2000-2030,2000-2030,2000-2030
0,1.1376234567901236,54.0,41.0
1,0.8783333333333333,58.0,34.0
2,0.9908333333333333,62.0,41.0
3,1.2842857142857143,49.0,42.0
4,1.1387333333333336,50.0,38.0
5,1.193587570621469,59.0,47.0
6,1.1883333333333332,58.0,46.0
7,1.2633006535947713,51.0,43.0
8,1.1376234567901236,54.0,41.0
9,1.3595987654320987,54.0,49.0
10,1.3406140350877191,57.0,51.0
11,1.0920056497175141,59.0,43.0
12,1.304104938271605,54.0,47.0
13,1.3406140350877191,57.0,51.0
14,1.1123989898989899,66.0,49.0
15,1.0066927083333335,64.0,43.0
16,1.0807650273224043,61.0,44.0
17,1.16819209039548,59.0,46.0
18,1.2083333333333333,62.0,50.0
19,1.3533333333333335,62.0,56.0
20,1.1487222222222222,60.0,46.0
21,1.2803939393939396,55.0,47.0
22,1.3175000000000001,58.0,51.0
23,1.3235277777777779,60.0,53.0
24,1.0373076923076923,65.0,45.0
25,1.192551020408163,49.0,39.0
26,1.066121794871795,52.0,37.0
27,0.943395061728395,54.0,34.0
28,1.3110416666666667,48.0,42.0
29,1.192551020408163,49.0,39.0
30,1.2208641975308643,54.0,44.0
31,1.1714242424242425,55.0,43.0
32,1.4026950354609926,47.0,44.0
33,1.3354710144927535,46.0,41.0
34,1.5309057971014493,46.0,47.0
35,1.225909090909091,55.0,45.0
36,1.3110416666666667,56.0,49.0
37,1.1108333333333333,58.0,43.0
38,1.267820512820513,52.0,44.0
39,1.3318518518518518,54.0,48.0
40,1.0464550264550263,63.0,44.0
41,1.0488333333333335,60.0,42.0
42,1.4384000000000001,50.0,48.0
43,1.1116666666666666,62.0,46.0
44,1.1772619047619048,56.0,44.0
45,1.1931172839506174,54.0,43.0
46,1.0969940476190476,56.0,41.0
47,1.2040178571428573,56.0,45.0
48,1.0063432835820896,67.0,45.0
49,1.1108333333333333,58.0,43.0
50,1.2286333333333335,50.0,41.0
51,1.1861805555555556,48.0,38.0
52,1.192551020408163,49.0,39.0
53,1.2173958333333332,48.0,39.0
54,1.2432978723404253,47.0,39.0
55,1.5295486111111107,48.0,49.0
56,1.2486111111111111,48.0,40.0
57,1.4983333333333333,43.0,43.0
58,1.6107083333333334,40.0,43.0
59,1.2985555555555555,45.0,39.0
60,1.498333333333333,46.0,46.0
61,1.2040178571428573,56.0,45.0
62,1.2307738095238094,56.0,46.0
63,1.3542628205128207,52.0,47.0
64,1.5900680272108845,49.0,52.0
65,1.3143274853801166,57.0,50.0
66,1.2586000000000002,50.0,42.0
67,1.3708156028368794,47.0,43.0
68,1.1883333333333332,58.0,46.0
69,1.2156289308176103,53.0,43.0
70,1.2091812865497074,57.0,46.0
71,1.1828947368421052,57.0,45.0
72,1.0150000000000001,62.0,42.0
73,0.9534848484848487,66.0,42.0
74,1.1714242424242425,55.0,43.0
75,1.257529761904762,56.0,47.0
76,1.373472222222222,48.0,44.0
77,1.2703260869565216,46.0,39.0
78,1.4065986394557821,49.0,46.0
79,1.4359027777777775,48.0,46.0
80,1.6410317460317456,42.0,46.0
81,1.1653703703703706,54.0,42.0
82,1.039659863945578,49.0,34.0
83,1.3280681818181816,44.0,39.0
84,1.4983333333333333,43.0,43.0
85,1.365148148148148,45.0,41.0
86,1.365148148148148,45.0,41.0
87,1.5882333333333336,50.0,53.0
88,1.6182,50.0,54.0
89,1.4983333333333333,50.0,50.0
90,1.2486111111111111,54.0,45.0
91,1.2091812865497074,57.0,46.0
92,1.6315185185185181,45.0,49.0
93,1.3185333333333333,50.0,44.0
94,1.4065986394557821,49.0,46.0
95,1.4983333333333333,50.0,50.0
96,1.4705864197530867,54.0,53.0
97,1.3143274853801166,57.0,50.0
98,0.7718686868686868,66.0,34.0
99,1.0391666666666668,62.0,43.0
