,2062-2092,2062-2092,2062-2092
0,1.5538271604938274,54.0,56.0
1,1.5241666666666667,58.0,59.0
2,1.2325000000000002,62.0,51.0
3,1.3760204081632652,49.0,45.0
4,1.2586000000000002,50.0,42.0
5,1.16819209039548,59.0,46.0
6,1.3433333333333335,58.0,52.0
7,1.6452287581699347,51.0,56.0
8,1.304104938271605,54.0,47.0
9,1.2486111111111111,54.0,45.0
10,1.2880409356725144,57.0,49.0
11,1.3967514124293783,59.0,55.0
12,1.304104938271605,54.0,47.0
13,1.025175438596491,57.0,39.0
14,1.0215909090909092,66.0,45.0
15,0.9598697916666666,64.0,41.0
16,1.1298907103825135,61.0,46.0
17,1.2951694915254237,59.0,51.0
18,1.3291666666666666,62.0,55.0
19,1.5466666666666669,62.0,64.0
20,1.223638888888889,60.0,49.0
21,1.1714242424242425,55.0,43.0
22,1.1883333333333332,58.0,46.0
23,0.9489444444444446,60.0,38.0
24,0.8989999999999999,65.0,39.0
25,1.52891156462585,49.0,50.0
26,1.4983333333333337,52.0,52.0
27,1.4705864197530867,54.0,53.0
28,1.5295486111111107,48.0,49.0
29,1.3148639455782312,49.0,43.0
30,1.2486111111111111,54.0,45.0
31,1.2803939393939396,55.0,47.0
32,1.4345744680851062,47.0,45.0
33,1.596050724637681,46.0,49.0
34,1.3354710144927535,46.0,41.0
35,1.2531515151515151,55.0,46.0
36,1.391309523809524,56.0,52.0
37,1.3175000000000001,58.0,51.0
38,1.4407051282051282,52.0,50.0
39,1.1931172839506174,54.0,43.0
40,0.9988888888888889,63.0,42.0
41,0.9489444444444446,60.0,38.0
42,1.3185333333333333,50.0,44.0
43,1.3291666666666666,62.0,55.0
44,1.4180654761904763,56.0,53.0
45,1.3873456790123455,54.0,50.0
46,1.2842857142857145,56.0,48.0
47,1.0969940476190476,56.0,41.0
48,0.9392537313432837,67.0,42.0
49,0.9041666666666667,58.0,35.0
50,1.6182,50.0,54.0
51,1.5919791666666665,48.0,51.0
52,1.4677551020408162,49.0,48.0
53,1.6231944444444446,48.0,52.0
54,1.4983333333333333,47.0,47.0
55,1.5607638888888884,48.0,50.0
56,1.5295486111111107,48.0,49.0
57,1.811937984496124,43.0,52.0
58,1.8729166666666666,40.0,50.0
59,1.7647037037037037,45.0,53.0
60,1.563478260869565,46.0,48.0
61,1.3377976190476188,56.0,50.0
62,1.257529761904762,56.0,47.0
63,1.4118910256410255,52.0,49.0
64,1.4065986394557821,49.0,46.0
65,1.025175438596491,57.0,39.0
66,1.2885666666666669,50.0,43.0
67,1.4983333333333333,47.0,47.0
68,1.2916666666666665,58.0,50.0
69,1.5266037735849058,53.0,54.0
70,1.3931871345029239,57.0,53.0
71,1.261754385964912,57.0,48.0
72,1.2566666666666668,62.0,52.0
73,1.0442929292929293,66.0,46.0
74,0.9262424242424242,55.0,34.0
75,1.2842857142857145,56.0,48.0
76,1.5919791666666665,48.0,51.0
77,1.498333333333333,46.0,46.0
78,1.4065986394557821,49.0,46.0
79,1.5607638888888884,48.0,50.0
80,1.7837301587301582,42.0,50.0
81,1.3873456790123455,54.0,50.0
82,1.6206462585034014,49.0,53.0
83,1.8388636363636361,44.0,54.0
84,1.7074031007751935,43.0,49.0
85,1.5649259259259258,45.0,47.0
86,1.465037037037037,45.0,44.0
87,1.4683666666666666,50.0,49.0
88,1.558266666666667,50.0,52.0
89,1.4384000000000001,50.0,48.0
90,1.3595987654320987,54.0,49.0
91,1.3669005847953217,57.0,52.0
92,1.6648148148148143,45.0,50.0
93,1.5283,50.0,51.0
94,1.5900680272108845,49.0,52.0
95,1.4683666666666666,50.0,49.0
96,1.3873456790123455,54.0,50.0
97,1.3143274853801166,57.0,50.0
98,0.9080808080808082,66.0,40.0
99,0.8700000000000001,62.0,36.0
100,1.1772619047619048,56.0,44.0
101,1.3569811320754719,53.0,48.0
102,1.698111111111111,45.0,51.0
103,1.7837301587301582,42.0,50.0
104,1.4150925925925928,54.0,51.0
105,1.4983333333333335,51.0,51.0
106,1.6424038461538462,52.0,57.0
107,1.8808865248226947,47.0,59.0
108,2.3188492063492063,42.0,65.0
109,1.8637804878048778,41.0,51.0
110,2.0830487804878044,41.0,57.0
111,1.7263405797101448,46.0,53.0
112,1.5900680272108845,49.0,52.0
113,1.7039869281045752,51.0,58.0
114,1.55,58.0,60.0
115,1.4194736842105262,57.0,54.0
116,1.4150925925925928,54.0,51.0
117,1.5255757575757578,55.0,56.0
118,1.7792708333333331,48.0,57.0
119,1.846782945736434,43.0,53.0
120,1.9734146341463412,41.0,54.0
121,1.5831446540880505,53.0,56.0
122,1.0488333333333335,60.0,42.0
123,0.957950819672131,61.0,39.0
124,0.9142372881355931,59.0,36.0
125,1.261754385964912,57.0,48.0
126,1.4983333333333337,52.0,52.0
127,1.5882333333333336,50.0,53.0
128,1.7533687943262408,47.0,55.0
129,1.4371768707482993,49.0,47.0
130,1.4135220125786163,53.0,50.0
131,1.5271474358974362,52.0,53.0
132,1.8978888888888887,45.0,57.0
133,2.2649224806201547,43.0,65.0
134,2.043181818181818,44.0,60.0
135,2.077234848484848,44.0,61.0
136,2.145340909090909,44.0,63.0
137,1.9570068027210885,49.0,64.0
138,1.7627450980392159,51.0,60.0
139,1.4234166666666668,60.0,57.0
140,1.6617878787878788,55.0,61.0
141,1.7081000000000002,50.0,57.0
142,1.5800606060606062,55.0,58.0
143,1.8035493827160496,54.0,65.0
144,2.079319727891156,49.0,68.0
145,1.7914855072463765,46.0,55.0
146,1.5277124183006539,51.0,52.0
147,1.0150000000000001,62.0,42.0
148,1.16819209039548,59.0,46.0
149,0.9908333333333333,62.0,41.0
150,1.4084333333333334,50.0,47.0
151,1.557091503267974,51.0,53.0
152,1.52891156462585,49.0,50.0
153,1.5271474358974362,52.0,53.0
154,1.5283,50.0,51.0
155,1.5900680272108845,49.0,52.0
156,1.8171276595744679,47.0,57.0
157,1.8729166666666668,52.0,65.0
158,1.7380666666666666,50.0,58.0
159,2.0194927536231884,46.0,62.0
160,1.8566304347826086,46.0,57.0
161,2.0487414965986392,49.0,67.0
162,2.2186858974358974,52.0,77.0
163,2.0565359477124185,51.0,70.0
164,2.053271604938272,54.0,74.0
165,2.2050943396226415,53.0,78.0
166,2.1610576923076925,52.0,75.0
167,2.2475,52.0,78.0
168,2.0354716981132075,53.0,72.0
169,1.9342121212121215,55.0,71.0
170,1.7000320512820513,52.0,59.0
171,1.4016666666666666,62.0,58.0
172,1.1986666666666668,60.0,48.0
173,1.4407051282051282,52.0,50.0
174,1.1116666666666666,62.0,46.0
175,1.4065986394557821,49.0,46.0
176,1.2486111111111111,54.0,45.0
177,1.3287106918238996,53.0,47.0
178,1.3873456790123455,54.0,50.0
179,1.5900680272108845,49.0,52.0
180,1.7480555555555555,48.0,56.0
181,1.9543478260869562,46.0,60.0
182,1.6135897435897437,52.0,56.0
183,1.5800606060606062,55.0,58.0
184,1.6781333333333335,50.0,56.0
185,1.9478333333333335,50.0,65.0
186,2.072163120567376,47.0,65.0
187,2.29531914893617,47.0,72.0
188,2.1538541666666666,48.0,69.0
189,2.26218954248366,51.0,77.0
190,2.3307407407407412,54.0,84.0
191,2.0408333333333335,58.0,79.0
192,1.9891666666666665,58.0,77.0
193,2.060208333333333,56.0,77.0
194,1.7776836158192089,59.0,70.0
195,2.0677000000000003,50.0,69.0
196,1.9683986928104575,51.0,67.0
197,1.4741666666666666,62.0,61.0
198,1.679166666666667,58.0,65.0
199,1.6191666666666666,62.0,67.0
200,1.4118910256410255,52.0,49.0
201,1.4983333333333335,51.0,51.0
202,1.4983333333333335,54.0,54.0
203,1.3669005847953217,57.0,52.0
204,1.4700628930817612,53.0,52.0
205,1.5815740740740742,54.0,57.0
206,1.9446453900709217,47.0,61.0
207,2.06437037037037,45.0,62.0
208,1.7680333333333331,50.0,59.0
209,1.6114150943396228,53.0,57.0
210,1.708625730994152,57.0,65.0
211,1.6962264150943398,53.0,60.0
212,1.6588690476190477,56.0,62.0
213,1.942283950617284,54.0,70.0
214,1.9145370370370371,54.0,69.0
215,2.3099305555555554,48.0,74.0
216,1.9614545454545456,55.0,72.0
217,1.798,60.0,72.0
218,1.82609375,64.0,78.0
219,1.8400584795321635,57.0,70.0
220,1.8524848484848484,55.0,68.0
221,2.2474999999999996,48.0,72.0
222,2.1226388888888885,48.0,68.0
223,1.8194047619047617,56.0,68.0
224,1.719398907103825,61.0,70.0
225,1.4466666666666668,58.0,56.0
226,1.345960451977401,59.0,53.0
227,1.4983333333333333,57.0,57.0
228,1.5241666666666667,58.0,59.0
229,1.3669005847953217,57.0,52.0
230,1.3175000000000001,58.0,51.0
231,1.792124183006536,51.0,61.0
232,1.8279666666666667,50.0,61.0
233,1.6560526315789472,57.0,63.0
234,1.57325,60.0,63.0
235,1.6073030303030302,55.0,59.0
236,1.629766081871345,57.0,62.0
237,1.6321130952380953,56.0,61.0
238,1.9017307692307694,52.0,66.0
239,1.6856250000000002,56.0,63.0
240,1.6823391812865498,57.0,64.0
241,1.906969696969697,55.0,70.0
242,2.060208333333333,56.0,77.0
243,1.6702732240437155,61.0,68.0
244,1.719398907103825,61.0,70.0
245,2.0159393939393944,55.0,74.0
246,1.9789308176100628,53.0,70.0
247,2.0565359477124185,51.0,70.0
248,1.8093081761006293,53.0,64.0
249,1.6034795321637425,57.0,61.0
250,1.1986666666666668,65.0,52.0
251,1.4507671957671955,63.0,61.0
252,1.5482777777777779,60.0,62.0
253,1.3485,60.0,54.0
254,1.5509064327485378,57.0,59.0
255,1.4733611111111111,60.0,59.0
256,1.5246198830409354,57.0,58.0
257,1.7527672955974845,53.0,62.0
258,1.6560526315789472,57.0,63.0
259,1.5221164021164022,63.0,64.0
260,1.7658928571428572,56.0,66.0
261,1.8400584795321635,57.0,70.0
262,1.5482777777777779,60.0,62.0
263,1.5246198830409354,57.0,58.0
264,1.798,55.0,66.0
265,1.673138888888889,60.0,67.0
266,1.836666666666667,62.0,76.0
267,1.9189181286549708,57.0,73.0
268,1.82609375,64.0,78.0
269,1.6622135416666668,64.0,71.0
270,1.8229722222222224,60.0,73.0
271,1.9264285714285716,56.0,72.0
272,1.7566666666666666,58.0,68.0
273,2.0334523809523812,56.0,76.0
274,1.9977777777777779,63.0,84.0
275,1.076267605633803,71.0,51.0
276,1.2747014925373135,67.0,57.0
277,1.2661971830985916,71.0,60.0
278,1.2527049180327867,61.0,51.0
279,1.3167171717171717,66.0,58.0
280,1.4075252525252526,66.0,62.0
281,1.3167171717171717,66.0,58.0
282,1.6388020833333334,64.0,70.0
283,1.7123809523809523,63.0,72.0
