,2031-2061,2031-2061,2031-2061
0,1.2208641975308643,54.0,44.0
1,1.0850000000000002,58.0,42.0
2,0.8941666666666668,62.0,37.0
3,1.3148639455782312,49.0,43.0
4,1.1986666666666668,50.0,40.0
5,1.1427966101694915,59.0,45.0
6,0.9816666666666668,58.0,38.0
7,1.0282679738562093,51.0,35.0
8,0.8879012345679014,54.0,32.0
9,1.026635802469136,54.0,37.0
10,1.0514619883040934,57.0,40.0
11,0.9142372881355931,59.0,36.0
12,0.8601543209876544,54.0,31.0
13,0.8411695906432749,57.0,32.0
14,0.6356565656565657,66.0,28.0
15,0.561875,64.0,24.0
16,0.9333879781420765,61.0,38.0
17,1.0920056497175141,59.0,43.0
18,1.0875000000000001,62.0,45.0
19,0.9666666666666668,62.0,40.0
20,1.023861111111111,60.0,41.0
21,1.2803939393939396,55.0,47.0
22,1.2141666666666668,58.0,47.0
23,1.12375,60.0,45.0
24,1.0142564102564102,65.0,44.0
25,1.3760204081632652,49.0,45.0
26,1.0084935897435898,52.0,35.0
27,0.9988888888888889,54.0,36.0
28,1.3110416666666667,48.0,42.0
29,1.3760204081632652,49.0,45.0
30,1.276358024691358,54.0,46.0
31,1.1986666666666668,55.0,44.0
32,1.1157801418439715,47.0,35.0
33,1.0423188405797101,46.0,32.0
34,1.2377536231884059,46.0,38.0
35,1.1441818181818184,55.0,42.0
36,1.2040178571428573,56.0,45.0
37,0.9558333333333334,58.0,37.0
38,0.9796794871794872,52.0,34.0
39,0.943395061728395,54.0,34.0
40,0.6897089947089946,63.0,29.0
41,0.8240833333333334,60.0,33.0
42,1.0188666666666666,50.0,34.0
43,0.8941666666666668,62.0,37.0
44,1.0702380952380954,56.0,40.0
45,1.1931172839506174,54.0,43.0
46,1.0969940476190476,56.0,41.0
47,1.1505059523809524,56.0,43.0
48,0.9392537313432837,67.0,42.0
49,1.0075,58.0,39.0
50,1.3185333333333333,50.0,44.0
51,1.1549652777777777,48.0,37.0
52,1.0090816326530612,49.0,33.0
53,1.373472222222222,48.0,44.0
54,1.5302127659574467,47.0,48.0
55,1.6231944444444446,48.0,52.0
56,1.2173958333333332,48.0,39.0
57,1.2544186046511627,43.0,36.0
58,1.1612083333333334,40.0,31.0
59,1.2985555555555555,45.0,39.0
60,1.4006159420289854,46.0,43.0
61,1.0702380952380954,56.0,40.0
62,1.0702380952380954,56.0,40.0
63,1.0949358974358976,52.0,38.0
64,1.192551020408163,49.0,39.0
65,1.2091812865497074,57.0,46.0
66,1.1387333333333336,50.0,38.0
67,1.147659574468085,47.0,36.0
68,0.8783333333333333,58.0,34.0
69,1.300440251572327,53.0,46.0
70,1.1828947368421052,57.0,45.0
71,0.9988888888888889,57.0,38.0
72,0.9425,62.0,39.0
73,0.9761868686868688,66.0,43.0
74,1.225909090909091,55.0,45.0
75,1.1237500000000002,56.0,42.0
76,1.1549652777777777,48.0,37.0
77,1.2051811594202897,46.0,37.0
78,1.2537074829931971,49.0,41.0
79,1.1861805555555556,48.0,38.0
80,1.5696825396825393,42.0,44.0
81,1.1376234567901236,54.0,41.0
82,1.1008163265306121,49.0,36.0
83,1.0556439393939394,44.0,31.0
84,1.1498837209302324,43.0,33.0
85,1.1986666666666665,45.0,36.0
86,1.4317407407407405,45.0,43.0
87,1.3185333333333333,50.0,44.0
88,1.3185333333333333,50.0,44.0
89,1.3784666666666667,50.0,46.0
90,1.1376234567901236,54.0,41.0
91,1.0777485380116958,57.0,41.0
92,1.498333333333333,45.0,45.0
93,1.2885666666666669,50.0,43.0
94,1.345442176870748,49.0,44.0
95,1.5283,50.0,51.0
96,1.1376234567901236,54.0,41.0
97,1.1040350877192984,57.0,42.0
98,0.9307828282828283,66.0,41.0
99,1.0391666666666668,62.0,43.0
100,1.1505059523809524,56.0,43.0
101,1.1308176100628933,53.0,40.0
102,1.2652592592592593,45.0,38.0
103,1.2129365079365078,42.0,34.0
104,0.9988888888888889,54.0,36.0
105,1.11640522875817,51.0,38.0
106,1.0949358974358976,52.0,38.0
107,1.147659574468085,47.0,36.0
108,1.284285714285714,42.0,36.0
109,1.1328861788617886,41.0,31.0
110,1.38869918699187,41.0,38.0
111,1.2051811594202897,46.0,37.0
112,1.5900680272108845,49.0,52.0
113,1.468954248366013,51.0,50.0
114,1.4208333333333334,58.0,55.0
115,1.1828947368421052,57.0,45.0
116,1.2208641975308643,54.0,44.0
117,1.3076363636363637,55.0,48.0
118,1.4359027777777775,48.0,46.0
119,1.846782945736434,43.0,53.0
120,1.5714227642276422,41.0,43.0
121,1.2438993710691824,53.0,44.0
122,0.899,60.0,36.0
123,0.8351366120218577,61.0,34.0
124,0.9650282485875706,59.0,38.0
125,1.0777485380116958,57.0,41.0
126,1.12375,52.0,39.0
127,1.1687,50.0,39.0
128,0.8607446808510637,47.0,27.0
129,0.8867687074829931,49.0,29.0
130,0.9611949685534591,53.0,34.0
131,1.0084935897435898,52.0,35.0
132,1.1320740740740738,45.0,34.0
133,1.324108527131783,43.0,38.0
134,1.259962121212121,44.0,37.0
135,1.15780303030303,44.0,34.0
136,1.362121212121212,44.0,40.0
137,1.4677551020408162,49.0,48.0
138,1.5864705882352943,51.0,54.0
139,1.3734722222222222,60.0,55.0
140,1.4166060606060609,55.0,52.0
141,1.4983333333333333,50.0,50.0
142,1.2531515151515151,55.0,46.0
143,1.637067901234568,54.0,59.0
144,1.6512244897959183,49.0,54.0
145,1.4657608695652171,46.0,45.0
146,1.1457843137254902,51.0,39.0
147,0.8941666666666668,62.0,37.0
148,1.015819209039548,59.0,40.0
149,1.0391666666666668,62.0,43.0
150,1.3485,50.0,45.0
151,1.322058823529412,51.0,45.0
152,1.2231292517006802,49.0,40.0
153,0.864423076923077,52.0,30.0
154,0.7791333333333335,50.0,26.0
155,1.1008163265306121,49.0,36.0
156,1.1157801418439715,47.0,35.0
157,0.9796794871794872,52.0,34.0
158,0.9889000000000001,50.0,33.0
159,1.0423188405797101,46.0,32.0
160,1.2051811594202897,46.0,37.0
161,1.2842857142857143,49.0,42.0
162,1.2966346153846156,52.0,45.0
163,1.4983333333333335,51.0,51.0
164,1.637067901234568,54.0,59.0
165,1.6679559748427673,53.0,59.0
166,1.5271474358974362,52.0,53.0
167,1.4695192307692309,52.0,51.0
168,1.5266037735849058,53.0,54.0
169,1.443848484848485,55.0,53.0
170,1.4118910256410255,52.0,49.0
171,1.0633333333333335,62.0,44.0
172,1.0738055555555557,60.0,43.0
173,1.383076923076923,52.0,48.0
174,1.1600000000000001,62.0,48.0
175,1.4065986394557821,49.0,46.0
176,1.2208641975308643,54.0,44.0
177,1.1590880503144654,53.0,41.0
178,1.026635802469136,54.0,37.0
179,0.7032993197278911,49.0,23.0
180,0.9988888888888889,48.0,32.0
181,1.2051811594202897,46.0,37.0
182,0.9508653846153847,52.0,33.0
183,1.0079696969696972,55.0,37.0
184,1.0788,50.0,36.0
185,1.1387333333333336,50.0,38.0
186,1.1795390070921985,47.0,37.0
187,1.4026950354609926,47.0,44.0
188,1.5607638888888884,48.0,50.0
189,1.6452287581699347,51.0,56.0
190,1.3318518518518518,54.0,48.0
191,1.3691666666666669,58.0,53.0
192,1.3691666666666669,58.0,53.0
193,1.5250892857142857,56.0,57.0
194,1.3205649717514125,59.0,52.0
195,1.5882333333333336,50.0,53.0
196,1.3808169934640524,51.0,47.0
197,1.1600000000000001,62.0,48.0
198,1.4466666666666668,58.0,56.0
199,1.4983333333333335,62.0,62.0
200,1.210192307692308,52.0,42.0
201,1.322058823529412,51.0,45.0
202,1.1931172839506174,54.0,43.0
203,1.025175438596491,57.0,39.0
204,0.8481132075471699,53.0,30.0
205,0.8601543209876544,54.0,31.0
206,1.0839007092198578,47.0,34.0
207,1.231962962962963,45.0,37.0
208,1.0188666666666666,50.0,34.0
209,0.9611949685534591,53.0,34.0
210,0.8937426900584794,57.0,34.0
211,1.1308176100628933,53.0,40.0
212,1.1505059523809524,56.0,43.0
213,1.304104938271605,54.0,47.0
214,1.3318518518518518,54.0,48.0
215,1.4046874999999999,48.0,45.0
216,1.3076363636363637,55.0,48.0
217,1.4234166666666668,60.0,57.0
218,1.2876302083333333,64.0,55.0
219,1.4194736842105262,57.0,54.0
220,1.4166060606060609,55.0,52.0
221,1.5919791666666665,48.0,51.0
222,1.373472222222222,48.0,44.0
223,1.391309523809524,56.0,52.0
224,1.3018306010928962,61.0,53.0
225,1.0591666666666666,58.0,41.0
226,1.0666101694915255,59.0,42.0
227,1.025175438596491,57.0,39.0
228,1.24,58.0,48.0
229,1.0514619883040934,57.0,40.0
230,1.0333333333333334,58.0,40.0
231,1.1751633986928105,51.0,40.0
232,1.2885666666666669,50.0,43.0
233,0.9988888888888889,57.0,38.0
234,0.9489444444444446,60.0,38.0
235,1.0624545454545455,55.0,39.0
236,1.1828947368421052,57.0,45.0
237,1.1772619047619048,56.0,44.0
238,1.383076923076923,52.0,48.0
239,1.3110416666666667,56.0,49.0
240,1.1828947368421052,57.0,45.0
241,1.3076363636363637,55.0,48.0
242,1.391309523809524,56.0,52.0
243,1.2772677595628417,61.0,52.0
244,1.2035792349726775,61.0,49.0
245,1.3348787878787878,55.0,49.0
246,1.3569811320754719,53.0,48.0
247,1.2339215686274512,51.0,42.0
248,1.385251572327044,53.0,49.0
249,1.472046783625731,57.0,56.0
250,0.8528974358974359,65.0,37.0
251,0.97510582010582,63.0,41.0
252,1.12375,60.0,45.0
253,1.12375,60.0,45.0
254,1.1303216374269005,57.0,43.0
255,1.0987777777777779,60.0,44.0
256,1.1040350877192984,57.0,42.0
257,1.385251572327044,53.0,49.0
258,1.2880409356725144,57.0,49.0
259,0.97510582010582,63.0,41.0
260,1.1772619047619048,56.0,44.0
261,1.0777485380116958,57.0,41.0
262,1.0738055555555557,60.0,43.0
263,0.9988888888888889,57.0,38.0
264,1.2803939393939396,55.0,47.0
265,1.1736944444444446,60.0,47.0
266,1.1358333333333335,62.0,47.0
267,1.3931871345029239,57.0,53.0
268,1.193984375,64.0,51.0
269,1.12375,64.0,48.0
270,1.1986666666666668,60.0,48.0
271,1.1772619047619048,56.0,44.0
272,1.1625,58.0,45.0
273,1.1772619047619048,56.0,44.0
274,1.1891534391534389,63.0,50.0
275,0.7386150234741784,71.0,35.0
276,0.7379850746268657,67.0,33.0
277,0.9285446009389672,71.0,44.0
278,1.105327868852459,61.0,45.0
279,1.13510101010101,66.0,50.0
280,1.1123989898989899,66.0,49.0
281,0.9988888888888889,66.0,44.0
282,1.12375,64.0,48.0
283,1.0702380952380952,63.0,45.0
284,1.0738055555555557,60.0,43.0
285,1.2035792349726775,61.0,49.0
286,1.1931172839506174,54.0,43.0
287,1.031639344262295,61.0,42.0
288,1.031639344262295,61.0,42.0
289,1.0807650273224043,61.0,44.0
290,1.2408072916666668,64.0,53.0
291,1.1558571428571427,70.0,54.0
292,1.2566666666666668,62.0,52.0
293,1.1600000000000001,62.0,48.0
294,1.4166060606060609,55.0,52.0
295,1.2735833333333335,60.0,51.0
296,1.0920056497175141,59.0,43.0
297,1.1566081871345029,57.0,44.0
298,1.0488333333333335,60.0,42.0
299,1.4194736842105262,57.0,54.0
300,0.8367316017316018,77.0,43.0
301,0.839066666666667,75.0,42.0
302,0.7688815789473684,76.0,39.0
303,0.9074413145539907,71.0,43.0
304,1.2325000000000002,62.0,51.0
305,1.1600000000000001,62.0,48.0
306,1.1986666666666668,65.0,52.0
307,1.1525641025641022,65.0,50.0
308,0.894837962962963,72.0,43.0
309,0.9554589371980676,69.0,44.0
310,1.0562021857923496,61.0,43.0
311,1.1487222222222222,60.0,46.0
312,1.0702380952380954,56.0,40.0
313,1.1625,58.0,45.0
314,1.0464550264550263,63.0,44.0
315,1.1678186274509803,68.0,53.0
316,1.1187555555555557,75.0,56.0
317,1.0973708920187795,71.0,52.0
318,1.0738055555555557,60.0,43.0
319,1.2189830508474575,59.0,48.0
320,1.2390064102564105,52.0,43.0
321,1.0875000000000001,62.0,45.0
322,0.9988888888888889,63.0,42.0
323,1.0488333333333335,60.0,42.0
324,1.3348787878787878,55.0,49.0
325,0.9789111111111112,75.0,49.0
326,0.7965822784810127,79.0,42.0
327,1.0340610328638498,71.0,49.0
328,1.0448903508771932,76.0,53.0
329,1.1772619047619046,70.0,55.0
330,0.9988888888888889,72.0,48.0
331,1.0796813725490195,68.0,49.0
332,1.2678205128205127,65.0,55.0
333,1.0734328358208955,67.0,48.0
334,1.1181592039800994,67.0,50.0
335,1.193984375,64.0,51.0
336,1.0896969696969698,66.0,48.0
337,1.0666101694915255,59.0,42.0
338,1.0896969696969698,66.0,48.0
339,1.0933783783783784,74.0,54.0
340,1.2028873239436622,71.0,57.0
341,1.2109817351598173,73.0,59.0
342,1.128881278538813,73.0,55.0
343,1.100338541666667,64.0,47.0
344,0.9142372881355931,59.0,36.0
345,0.9183333333333334,62.0,38.0
346,1.0734328358208955,67.0,48.0
347,1.053515625,64.0,45.0
348,1.1487222222222222,60.0,46.0
349,1.0391666666666668,62.0,43.0
350,0.8428125000000001,80.0,45.0
351,0.8172727272727274,77.0,42.0
352,1.0576470588235294,68.0,48.0
353,1.070238095238095,70.0,50.0
354,1.3028985507246378,69.0,60.0
355,1.0646052631578948,76.0,54.0
356,1.2118872549019606,68.0,55.0
357,1.2970646766169154,67.0,58.0
358,1.2842857142857143,70.0,60.0
359,1.0673059360730597,73.0,52.0
360,1.113047619047619,70.0,52.0
361,1.0673059360730597,73.0,52.0
362,1.0060238095238097,70.0,47.0
363,1.2028873239436622,71.0,57.0
364,1.1286147186147184,77.0,58.0
365,1.134452380952381,70.0,53.0
366,1.2109817351598173,73.0,59.0
367,1.3463285024154592,69.0,62.0
368,1.3348787878787878,55.0,49.0
369,1.0920056497175141,59.0,43.0
370,0.9572685185185185,72.0,46.0
371,0.9074413145539907,71.0,43.0
372,0.9313963963963964,74.0,46.0
373,1.040509259259259,72.0,50.0
374,0.9988888888888889,75.0,50.0
375,1.102939814814815,72.0,53.0
376,0.9189777777777779,75.0,46.0
377,0.9364583333333334,72.0,45.0
378,1.1544535519125683,61.0,47.0
379,1.0135784313725489,68.0,46.0
380,0.9145670995670996,77.0,47.0
381,1.134452380952381,70.0,53.0
382,1.2486111111111111,66.0,55.0
383,1.2970646766169154,67.0,58.0
384,1.3942824074074074,72.0,67.0
385,0.8836324786324786,78.0,46.0
386,0.8123493975903614,83.0,45.0
387,0.899,80.0,48.0
388,1.1946171171171172,74.0,59.0
389,1.214864864864865,74.0,60.0
390,1.214864864864865,74.0,60.0
391,1.118474178403756,71.0,53.0
392,1.3812760416666665,64.0,59.0
393,1.2527049180327867,61.0,51.0
394,1.3394191919191918,66.0,59.0
395,1.128881278538813,73.0,55.0
396,0.7875854700854701,78.0,41.0
397,1.0123873873873872,74.0,50.0
398,1.178688888888889,75.0,59.0
399,0.8304016064257027,83.0,46.0
400,1.0788000000000002,75.0,54.0
401,1.0054605263157896,76.0,51.0
402,0.9918544600938969,71.0,47.0
403,1.0796813725490195,68.0,49.0
404,0.920404761904762,70.0,43.0
405,1.1083561643835618,73.0,54.0
406,1.0673059360730597,73.0,52.0
407,1.2109817351598173,73.0,59.0
408,1.0987777777777779,75.0,55.0
409,1.1187555555555557,75.0,56.0
410,0.9412606837606837,78.0,49.0
411,0.8155485232067511,79.0,43.0
412,0.9501626016260163,82.0,52.0
413,1.0232520325203251,82.0,56.0
414,1.0301041666666666,80.0,55.0
415,1.0488333333333335,80.0,56.0
416,1.1986666666666668,70.0,56.0
417,1.1525641025641022,65.0,50.0
418,1.107463768115942,69.0,51.0
419,1.2594685990338164,69.0,58.0
420,1.1050208333333333,80.0,59.0
421,0.966030701754386,76.0,49.0
422,0.7954115226337448,81.0,43.0
423,1.1525641025641027,78.0,60.0
424,0.8989999999999999,90.0,54.0
425,1.128881278538813,73.0,55.0
426,1.3167171717171717,66.0,58.0
427,0.9921396396396396,74.0,49.0
428,0.9924025974025974,77.0,51.0
429,1.3463285024154592,69.0,62.0
430,1.056517094017094,78.0,55.0
431,1.1192369477911648,83.0,62.0
432,0.9463157894736842,76.0,48.0
433,1.0843201754385965,76.0,55.0
434,1.0188666666666668,75.0,51.0
435,1.0241772151898734,79.0,54.0
436,1.070238095238095,70.0,50.0
437,0.9206626506024096,83.0,51.0
438,0.9684349593495934,82.0,53.0
439,0.9097023809523809,84.0,51.0
440,1.0232520325203251,82.0,56.0
441,1.0488333333333335,80.0,56.0
442,1.2414761904761904,70.0,58.0
443,1.1817840375586857,71.0,56.0
444,1.1141452991452991,78.0,58.0
445,0.9748192771084337,83.0,54.0
446,1.109155844155844,77.0,57.0
447,0.8802708333333334,80.0,47.0
448,1.1059126984126983,84.0,62.0
449,1.0488333333333335,80.0,56.0
450,1.1424791666666667,80.0,61.0
451,1.3463285024154592,69.0,62.0
452,1.3928169014084508,71.0,66.0
453,1.0896969696969698,77.0,56.0
454,1.2902314814814817,72.0,62.0
455,1.3161036036036038,74.0,65.0
456,1.1040350877192984,76.0,56.0
457,1.1986666666666668,70.0,56.0
458,1.0241772151898734,79.0,54.0
459,1.2958558558558562,74.0,64.0
460,1.1387333333333336,75.0,57.0
461,1.0488333333333335,80.0,56.0
462,0.899,80.0,48.0
463,0.9567670682730924,83.0,53.0
464,1.022392156862745,85.0,58.0
465,0.9930813953488371,86.0,57.0
466,0.8724472573839661,79.0,46.0
467,1.0251754385964915,76.0,52.0
468,0.9739166666666669,80.0,52.0
469,0.8853787878787879,88.0,52.0
470,0.958236434108527,86.0,55.0
471,1.0373076923076923,78.0,54.0
472,0.9220512820512821,78.0,48.0
473,0.9780787037037039,72.0,47.0
474,0.9156481481481482,72.0,44.0
475,1.3385111111111112,75.0,67.0
476,1.2186444444444446,75.0,61.0
477,1.4139201877934273,71.0,67.0
478,1.5203676470588234,68.0,69.0
479,1.298555555555556,75.0,65.0
480,1.128881278538813,73.0,55.0
481,1.2678205128205127,65.0,55.0
482,1.1333547008547007,78.0,59.0
483,0.9739166666666669,80.0,52.0
484,1.1424791666666667,80.0,61.0
485,1.0843201754385965,76.0,55.0
486,0.9632142857142856,84.0,54.0
487,1.005210970464135,79.0,53.0
