,Perc value hist eoc,Num hist eoc exceedances,Num PIC exceedances
0,407.92338641258334,179.0,430.0
1,383.295707813067,179.0,471.0
2,366.2168579709662,179.0,360.0
3,350.570483057626,179.0,510.0
4,350.23158731342204,179.0,382.0
5,333.5036458696903,179.0,464.0
6,295.50683040772935,179.0,702.0
7,283.88779259886616,179.0,726.0
8,268.7358673592673,179.0,528.0
9,247.1796202785133,179.0,412.0
10,222.9924000539231,179.0,275.0
11,203.20313176044982,179.0,202.0
12,191.1018463826537,179.0,86.0
13,177.1535593022187,179.0,149.0
14,180.53020837640562,179.0,102.0
15,174.21227996051311,177.0,96.0
16,177.36768308323522,179.0,220.0
17,169.1753040552139,177.0,176.0
18,149.24275350183993,179.0,107.0
19,145.31257177251877,179.0,80.0
20,154.41229456663132,178.0,81.0
21,172.03069798648357,176.0,117.0
22,188.57298847543527,179.0,99.0
23,225.84676130115986,176.0,104.0
24,296.3792950659991,177.0,97.0
25,443.1749984329527,179.0,442.0
26,404.20712036672063,179.0,477.0
27,393.4243175731993,179.0,490.0
28,376.31849656999117,178.0,604.0
29,373.41088278594634,179.0,503.0
30,369.0968689718598,179.0,523.0
31,335.2628030995683,179.0,716.0
32,301.0415992450048,179.0,823.0
33,295.76159873262867,179.0,778.0
34,274.089037775452,179.0,634.0
35,254.3381696270694,179.0,418.0
36,233.15497328155698,179.0,274.0
37,210.3722472407568,179.0,255.0
38,206.07536125258224,179.0,229.0
39,182.9334812279965,179.0,134.0
40,166.8457150071664,179.0,93.0
41,173.54166412353516,177.0,151.0
42,156.8231014544807,179.0,142.0
43,146.3134167685415,179.0,91.0
44,145.11172741493647,179.0,42.0
45,146.81150576679534,179.0,101.0
46,164.92738383064034,179.0,75.0
47,188.6999349296093,176.0,116.0
48,248.82807999998445,179.0,124.0
49,307.0316148847341,178.0,126.0
50,467.93842798858344,179.0,521.0
51,452.7733673576119,179.0,431.0
52,426.16310219634465,179.0,515.0
53,408.2176178979481,179.0,538.0
54,387.17297946761477,179.0,550.0
55,382.14549087744007,179.0,687.0
56,384.4817302704402,179.0,755.0
57,339.31359065471304,179.0,865.0
58,306.62504173218366,179.0,843.0
59,297.0113901095889,179.0,899.0
60,281.5181316396661,179.0,655.0
61,252.9419575378331,179.0,499.0
62,232.09107047450743,179.0,394.0
63,212.03052792397352,179.0,229.0
64,202.91881888690565,179.0,302.0
65,181.5011256071822,179.0,223.0
66,165.30683022218497,179.0,173.0
67,173.80613050553578,179.0,241.0
68,157.27044476012136,179.0,184.0
69,148.01993557736856,179.0,67.0
70,165.84785840759068,179.0,67.0
71,161.02238252099784,179.0,83.0
72,193.08004506836275,179.0,93.0
73,250.24711875617504,177.0,87.0
74,345.6784310205093,179.0,100.0
75,501.68181427101433,179.0,628.0
76,466.53628168613346,179.0,649.0
77,444.60388393831374,179.0,638.0
78,427.38502042680545,179.0,645.0
79,418.0108787414071,179.0,573.0
80,402.71561652889966,179.0,894.0
81,402.8805341266152,179.0,1072.0
82,378.1827079482444,179.0,980.0
83,348.0312575012455,179.0,992.0
84,315.29151917516504,179.0,1015.0
85,296.07332135613734,179.0,904.0
86,275.72501704450116,179.0,702.0
87,243.29625556766993,179.0,599.0
88,220.87664137770818,179.0,379.0
89,209.52299603829744,179.0,340.0
90,191.4363291231412,179.0,320.0
91,186.71642413461055,179.0,297.0
92,172.42284595225252,179.0,328.0
93,171.82410980490758,179.0,278.0
94,186.74888320714697,179.0,197.0
95,206.64448798490494,179.0,213.0
96,179.28356368221006,179.0,120.0
97,159.48634612366922,179.0,48.0
98,191.4825460612774,175.0,45.0
99,284.4056572048869,179.0,35.0
100,527.295492875892,179.0,682.0
101,491.02433688492744,179.0,580.0
102,479.0406684983458,179.0,695.0
103,465.62778912267686,179.0,888.0
104,448.94819171134685,179.0,746.0
105,432.37419074386105,179.0,872.0
106,410.5635339197741,179.0,1114.0
107,404.3485784441258,179.0,1305.0
108,387.8170949487938,179.0,1099.0
109,365.7406087843709,179.0,933.0
110,334.5442047025693,179.0,1026.0
111,308.3092546026249,179.0,832.0
112,285.16978747153,179.0,725.0
113,254.56903678830162,179.0,619.0
114,226.54036088472398,179.0,318.0
115,210.45560909854063,179.0,404.0
116,200.24988357032032,179.0,319.0
117,197.62115719196055,179.0,402.0
118,207.60990135175493,179.0,357.0
119,223.62055697292092,178.0,388.0
120,240.1455581486225,178.0,414.0
121,200.5777328251276,179.0,251.0
122,168.76034575525227,179.0,123.0
123,191.21245097039755,179.0,4.0
124,343.05693093484064,179.0,37.0
125,550.9726052864701,179.0,697.0
126,519.7322335339542,179.0,719.0
127,507.941181945785,179.0,701.0
128,495.30314483644844,179.0,931.0
129,476.966704793837,179.0,1019.0
130,456.84304316361766,179.0,1084.0
131,440.3870791119062,179.0,983.0
132,427.54774107881957,179.0,1290.0
133,413.1361174153386,179.0,1437.0
134,401.68423881201295,179.0,1234.0
135,373.95069954480215,179.0,977.0
136,346.61070818571477,179.0,835.0
137,319.78123341542204,179.0,732.0
138,292.7244972783605,179.0,581.0
139,265.4451510467481,179.0,624.0
140,240.20181489757553,179.0,471.0
141,228.36858219431394,179.0,407.0
142,225.54987967598547,179.0,452.0
143,256.6091031730175,178.0,382.0
144,274.588152106297,179.0,388.0
145,257.4628589072097,179.0,474.0
146,215.46803475359823,179.0,328.0
147,208.91309934645636,179.0,199.0
148,289.83145010471344,178.0,73.0
149,333.9094413924298,179.0,82.0
150,571.432181246253,179.0,824.0
151,560.5524078021516,179.0,880.0
152,543.60183365959,179.0,1044.0
153,526.8683338569907,179.0,871.0
154,514.1825198709868,179.0,1026.0
155,493.18405331981137,179.0,1247.0
156,472.04706533022414,179.0,1041.0
157,458.85893509386113,179.0,1061.0
158,439.87529432276233,179.0,1237.0
159,426.1320017136498,179.0,1396.0
160,397.2885388283146,179.0,1164.0
161,375.90665234802003,179.0,957.0
162,360.580746309796,179.0,745.0
163,336.52726510569016,179.0,575.0
164,305.0593891262438,179.0,548.0
165,286.6831141565714,179.0,597.0
166,278.0879452416283,179.0,630.0
167,285.52437983832226,179.0,602.0
168,333.214455168611,179.0,457.0
169,320.70310358703136,177.0,452.0
170,250.38397774101364,179.0,484.0
171,204.2340871078882,179.0,488.0
172,213.8623793012966,179.0,315.0
173,341.4664606583833,179.0,359.0
174,256.4270769969421,179.0,200.0
175,557.7455453120322,179.0,523.0
176,563.3418129867083,179.0,943.0
177,563.2257548535603,179.0,939.0
178,555.1305654057684,179.0,1047.0
179,537.9142530095306,179.0,991.0
180,519.2658712966977,179.0,1168.0
181,491.4052873605728,179.0,934.0
182,477.39441302148344,179.0,932.0
183,463.9325583987283,179.0,1087.0
184,447.87539743658954,179.0,1208.0
185,420.9752846648596,179.0,1182.0
186,408.5729293163267,179.0,1140.0
187,396.04201931820296,179.0,870.0
188,372.051975172305,179.0,641.0
189,352.45939857801284,179.0,518.0
190,344.09663765071247,179.0,491.0
191,343.13024639780434,179.0,523.0
192,377.1126601965254,179.0,567.0
193,412.03476823245256,179.0,455.0
194,329.33995427830985,179.0,474.0
195,264.37857724055164,179.0,608.0
196,228.42742170936287,179.0,626.0
197,234.09021545788877,179.0,545.0
198,324.56068837881503,179.0,760.0
199,320.3219827319417,179.0,554.0
200,568.0650222849968,179.0,401.0
201,554.1581744561134,179.0,664.0
202,558.5133133869889,179.0,957.0
203,548.2993874822827,179.0,1052.0
204,553.1005319887441,179.0,1159.0
205,540.7285421706496,179.0,1053.0
206,524.3807401025157,179.0,1113.0
207,506.6960677391854,179.0,989.0
208,492.0915231636066,179.0,1020.0
209,475.74606280591485,179.0,1153.0
210,451.0478155267653,179.0,1249.0
211,431.6118081791119,179.0,1306.0
212,415.9010824638589,179.0,1208.0
