,2070-2100
0,1.4983333333333337
1,1.498333333333333
2,0.8067948717948719
3,0.7991111111111112
4,0.8428125000000001
5,1.1772619047619048
6,1.1457843137254904
7,0.8561904761904764
8,1.2486111111111111
9,1.9069696969696968
10,1.4983333333333335
11,0.6555208333333334
12,0.3995555555555556
13,0.665925925925926
14,0.9988888888888889
15,0.793235294117647
16,0.899
17,1.0576470588235294
18,1.3110416666666669
19,1.1040350877192984
20,2.2475
21,1.373472222222222
22,1.373472222222222
23,1.298555555555556
24,0.6169607843137255
25,1.1772619047619048
26,1.2259090909090908
27,0.8324074074074075
28,1.664814814814815
29,1.1525641025641027
30,1.498333333333333
31,1.362121212121212
32,0.8740277777777777
33,1.1986666666666668
34,1.4983333333333335
35,2.3545238095238097
36,1.3485
37,0.6243055555555556
38,0.9988888888888889
39,1.2259090909090908
40,0.5762820512820513
41,0.899
42,0.7491666666666668
43,1.0987777777777779
44,1.1525641025641027
45,1.6231944444444446
46,1.267820512820513
47,1.8441025641025643
48,1.267820512820513
49,0.8813725490196078
50,1.0702380952380954
51,0.9534848484848484
52,1.3110416666666669
53,2.097666666666667
54,1.4983333333333335
55,2.3545238095238097
56,2.2475
57,1.4983333333333335
58,1.7707575757575758
59,2.6220833333333338
60,2.2475
61,1.4983333333333335
62,1.373472222222222
63,1.0373076923076923
64,1.6856250000000002
65,1.0896969696969696
66,1.4983333333333335
67,0.8561904761904764
68,1.728846153846154
69,1.373472222222222
70,1.7707575757575758
71,2.0746153846153845
72,1.373472222222222
73,1.3485
74,0.6992222222222223
75,1.3485
76,0.8561904761904764
77,0.6243055555555556
78,1.12375
79,1.6856250000000002
80,1.9977777777777779
81,3.246388888888889
82,2.996666666666666
83,1.498333333333333
84,2.179393939393939
85,1.9478333333333337
86,2.097666666666667
87,1.605357142857143
88,1.6345454545454543
89,1.6231944444444446
90,1.4983333333333335
91,1.6481666666666668
92,1.391309523809524
93,1.5982222222222224
94,2.3307407407407412
95,2.809375
96,2.1226388888888885
97,1.233921568627451
