,2040-2070
0,2.535641025641026
1,2.31560606060606
2,2.3051282051282054
3,1.6981111111111111
4,1.0301041666666666
5,1.2842857142857145
6,1.586470588235294
7,1.9264285714285716
8,2.4972222222222222
9,1.6345454545454543
10,2.097666666666667
11,1.0301041666666666
12,1.0987777777777779
13,2.1642592592592598
14,2.1226388888888885
15,1.3220588235294117
16,1.5732500000000003
17,2.2915686274509808
18,3.183958333333333
19,2.2869298245614034
20,2.996666666666667
21,2.1226388888888885
22,2.1226388888888885
23,2.097666666666667
24,2.0271568627450978
25,2.140476190476191
26,2.8604545454545454
27,2.4972222222222222
28,1.9977777777777779
29,1.6135897435897437
30,1.7707575757575758
31,2.179393939393939
32,2.1226388888888885
33,2.697
34,1.9977777777777779
35,2.140476190476191
36,3.1465000000000005
37,1.9977777777777779
38,1.8729166666666666
39,2.588030303030303
40,2.650897435897436
41,1.6981111111111111
42,1.8729166666666666
43,2.996666666666667
44,2.766153846153846
45,3.37125
46,1.9593589743589743
47,1.6135897435897437
48,2.3051282051282054
49,2.0271568627450978
50,2.140476190476191
51,2.996666666666666
52,2.4347916666666674
53,4.195333333333334
54,2.6220833333333338
55,3.4247619047619056
56,3.3712500000000003
57,2.996666666666667
58,3.1328787878787874
59,3.183958333333333
60,2.6220833333333338
61,2.1642592592592598
62,2.4972222222222222
63,2.420384615384616
64,4.307708333333333
65,3.4053030303030294
66,3.9955555555555557
67,3.210714285714286
68,3.5729487179487185
69,3.496111111111111
70,4.358787878787878
71,2.9966666666666675
72,1.6231944444444446
73,2.996666666666667
74,1.997777777777778
75,2.697
76,1.4983333333333335
77,1.7480555555555555
78,2.4347916666666674
79,2.996666666666667
80,3.496111111111112
81,5.74361111111111
82,6.492777777777778
83,3.37125
84,3.6777272727272723
85,3.596
86,3.596
87,2.3545238095238097
88,2.996666666666666
89,3.496111111111111
90,4.827962962962963
91,4.0455000000000005
92,3.103690476190476
93,3.596
94,4.9944444444444445
95,5.4314583333333335
96,2.746944444444444
97,1.8508823529411766
98,1.6345454545454543
99,2.650897435897436
100,2.2474999999999996
101,1.6231944444444446
102,1.3110416666666669
103,1.7123809523809528
104,2.663703703703704
105,2.846833333333334
106,4.495
107,6.635476190476191
108,7.241944444444443
109,4.495
110,4.345166666666667
111,3.6777272727272723
112,2.8896428571428574
113,3.0903125
114,3.6209722222222216
115,4.307708333333333
116,4.944500000000001
117,3.6882051282051287
118,3.5317857142857143
119,3.6388095238095235
120,4.086363636363636
121,2.796888888888889
122,2.6755952380952377
123,3.596
124,3.803461538461539
125,2.6755952380952377
126,3.121527777777777
127,2.4972222222222222
128,2.6220833333333333
129,2.3051282051282054
130,3.2690909090909086
131,2.996666666666667
132,7.192
133,5.779285714285715
134,7.491666666666666
135,9.589333333333334
136,4.827962962962963
137,4.495
138,4.033974358974359
139,4.9944444444444445
140,5.039848484848484
141,5.394
142,4.37974358974359
143,3.596
144,4.495
145,3.9187179487179487
146,2.568571428571429
147,2.996666666666666
148,4.358787878787878
149,3.596
150,2.2475
151,2.896777777777778
152,3.6777272727272723
153,3.2690909090909086
154,4.0455000000000005
155,2.535641025641026
156,2.461547619047619
157,3.2963333333333336
158,4.162037037037036
159,4.6614814814814824
160,5.993333333333334
161,4.370138888888889
162,5.66037037037037
163,6.82574074074074
164,5.6187499999999995
165,4.956025641025642
166,5.119305555555555
167,5.244166666666667
168,5.071282051282052
169,5.119305555555555
170,6.555208333333334
171,3.2963333333333336
172,2.782619047619048
173,3.5317857142857143
174,4.149230769230769
175,1.8978888888888892
176,2.996666666666666
177,4.494999999999999
178,4.6614814814814824
179,5.160925925925927
180,3.8139393939393935
181,2.9966666666666675
182,2.996666666666666
183,3.6209722222222216
184,3.5729487179487185
185,4.767424242424242
186,4.944500000000001
187,5.312272727272727
188,6.492777777777778
189,7.042166666666668
190,5.878076923076923
191,4.495
192,4.026770833333334
193,4.60202380952381
194,4.619861111111111
195,5.094333333333333
196,5.565238095238096
197,5.394
198,4.956025641025642
199,4.60202380952381
200,2.4972222222222222
201,2.2974444444444444
202,3.37125
