,1980-2010
0,1.1595054945054943
1,1.0854945054945053
2,1.1727611940298506
3,1.4347744360902253
4,1.163882488479263
5,1.660841836734694
6,1.6035714285714284
7,1.3046004842615013
8,1.237844611528822
9,1.1897465437788017
10,1.0778103044496488
11,1.1687046004842616
12,1.29812925170068
13,1.1790966386554622
14,1.0291577825159914
15,1.002232142857143
16,0.9260060362173039
17,1.2026785714285715
18,0.9131448412698414
19,1.0476666666666665
20,1.0104696673189824
21,0.9163265306122448
22,0.8831262939958593
23,0.9270647321428572
24,0.9232683982683982
25,1.1303864168618267
26,0.9760869565217392
27,1.215610599078341
28,1.2828571428571427
29,1.3589588377723971
30,1.119954648526077
31,1.4699404761904762
32,1.4676755447941892
33,1.350375939849624
34,1.3823891625615763
35,1.0530916844349678
36,1.196315192743764
37,0.9961580086580087
38,1.1176406926406925
39,0.9485915492957747
40,1.0618243243243244
41,0.8552380952380951
42,0.8675058548009367
43,1.0376050420168066
44,0.9534749034749035
45,0.9407619047619046
46,0.8218303571428572
47,0.9445694716242662
48,0.7310399159663865
49,0.966859243697479
50,1.069047619047619
51,1.185248447204969
52,1.3095833333333333
53,1.215610599078341
54,1.0854945054945053
55,1.1176406926406925
56,1.170861678004535
57,1.5206280788177338
58,1.370794930875576
59,1.3317796610169492
60,1.4100369458128075
61,1.1829625292740047
62,1.2294047619047617
63,1.069047619047619
64,1.0770255863539446
65,1.0618243243243244
66,0.9445694716242662
67,1.0163480885311873
68,1.0615191146881287
69,1.215610599078341
70,1.0615191146881287
71,0.9528467908902694
72,1.0163480885311873
73,0.9296066252587992
74,0.9034205231388329
75,1.133190476190476
76,1.2026785714285717
77,1.2734243697478993
78,1.4721311475409835
79,1.247222222222222
80,1.093344155844156
81,1.1380184331797234
82,1.3957010582010583
83,1.2881147540983606
84,1.216502463054187
85,1.3317796610169492
86,1.3744897959183673
87,1.216502463054187
88,1.093344155844156
89,1.1419372294372294
90,0.9226027397260275
91,0.9226027397260275
92,0.9993271221532092
93,1.05440313111546
94,1.1973333333333331
95,1.1454081632653061
96,1.0163480885311873
97,0.9260060362173039
98,0.7801158301158301
99,0.9937625754527163
100,1.1604793233082709
101,1.1292756539235413
102,1.135863095238095
103,1.247222222222222
104,1.277845982142857
105,1.2206289978678035
106,1.0854945054945053
107,1.0957738095238096
108,1.4347744360902253
109,1.1121543778801843
110,1.04359410430839
111,1.0530916844349678
112,1.1143462469733658
113,1.0515222482435596
114,1.115527950310559
115,1.0079591836734694
116,0.9226027397260275
117,1.0149186256781193
118,1.1307234432234432
119,1.2026785714285713
120,1.1292756539235413
121,0.9020089285714287
122,1.0140231092436975
123,1.002232142857143
124,0.9968146718146718
125,1.1422700587084151
126,1.0338815789473685
127,1.1083508403361344
128,1.3568681318681317
129,1.324689440993789
130,1.1419372294372294
131,1.069047619047619
132,1.177622767857143
133,1.0773995535714287
134,1.04359410430839
135,1.1380184331797234
136,1.0245039682539683
137,1.190530303030303
138,1.2618266978922716
139,1.0766836734693876
140,1.061186974789916
141,1.0104696673189824
142,0.9251373626373627
143,1.0294532627865962
144,1.05440313111546
145,1.2549689440993792
146,1.0262857142857142
147,1.185248447204969
148,1.1662337662337663
149,1.0163480885311873
150,1.0338815789473685
151,1.069047619047619
152,1.11359126984127
153,1.168316326530612
154,1.0104696673189824
155,1.1454081632653061
156,1.0308673469387757
157,1.184175824175824
158,1.0523437500000001
159,1.1662337662337663
160,1.184175824175824
161,1.0184845559845561
162,1.0763698630136986
163,1.1790966386554622
164,1.092287784679089
165,1.069047619047619
166,1.0376050420168066
167,1.1492261904761905
168,0.893128390596745
169,1.3551307847082494
170,1.1620082815734991
171,1.1701737451737455
172,1.1422700587084151
173,1.2026785714285715
174,1.0140231092436975
175,1.0262857142857142
176,1.0127819548872181
177,0.9885029354207437
178,1.0766836734693876
179,1.0766836734693876
180,1.0401544401544403
181,1.0763698630136986
182,1.1225
183,1.0773995535714287
184,1.2026785714285715
185,1.2026785714285715
186,1.177622767857143
187,1.1595054945054943
188,1.11359126984127
189,1.069047619047619
190,1.0995918367346937
191,1.247222222222222
192,1.0847689075630251
193,0.9968146718146718
194,1.148503861003861
195,1.433495670995671
196,1.305765306122449
197,1.2196177062374247
198,1.1966950959488272
199,1.1051640926640927
200,0.9456959706959706
201,1.0073717948717948
202,1.0412801484230056
203,0.8840201465201465
204,0.9193809523809523
205,1.221768707482993
206,0.9751447876447878
207,1.061186974789916
208,1.0995918367346937
209,1.0447510822510824
210,1.2355386416861827
211,1.1419372294372294
212,1.2206289978678035
213,0.9937625754527163
214,1.0467757936507935
215,1.0467757936507935
216,1.2970063025210083
217,1.2370408163265307
218,1.0913194444444445
219,1.0618243243243244
220,1.287374245472837
221,1.3515816326530614
222,1.2634199134199136
223,1.0324363992172212
224,1.155514705882353
225,1.2549689440993792
226,0.9502645502645503
227,0.9251373626373627
228,0.8489495798319328
229,0.9916823308270677
230,1.0140231092436975
231,0.9665362035225049
232,1.0847689075630251
233,1.0995918367346937
234,1.0140231092436975
235,0.9475649350649351
236,0.9196953781512605
237,1.0163480885311873
238,1.2262605042016808
239,1.1966950959488272
240,1.1319327731092437
241,1.1642367906066535
242,1.2659774436090225
243,1.2400952380952381
244,1.0476666666666665
245,1.1970321931589536
246,1.2472222222222222
247,1.2026785714285713
248,1.0262857142857142
249,1.138768115942029
250,1.1051640926640927
251,1.145408163265306
252,0.9534749034749035
253,0.9020089285714287
254,0.9821875
255,1.0615191146881287
256,1.0760808270676692
257,1.0204545454545455
258,1.138768115942029
259,1.1083508403361344
260,1.0308673469387757
261,0.9475649350649351
262,1.093344155844156
263,1.1727611940298506
264,1.002232142857143
265,1.174446680080483
266,1.133190476190476
267,1.2521037181996086
268,1.1393796992481207
269,1.2287105751391465
270,1.1581349206349207
271,1.185248447204969
272,1.155514705882353
273,1.0467757936507935
274,0.9445694716242662
275,1.0401544401544403
276,1.1512820512820512
277,0.9743218806509946
278,0.9968146718146718
279,0.9318050193050195
280,1.120303326810176
281,0.9799603174603174
282,1.1051640926640927
283,1.002232142857143
284,1.155514705882353
285,1.0847689075630251
286,0.9034205231388329
287,0.9799603174603174
