,year (30yr window),PIC whiplash count (normalized equiv. to RCP),RCP whiplash count (normalized per year),Full PIC whiplash counts across 1798 years,Full RCP whiplash counts (over 40ens members + 30 year windows)
80,2015.0,1.2458286985539488,1.5,56.0,45.0
81,2016.0,1.2458286985539488,1.5666666666666667,56.0,47.0
82,2017.0,1.2458286985539488,1.6333333333333333,56.0,49.0
83,2018.0,1.2458286985539488,1.6,56.0,48.0
84,2019.0,1.2458286985539488,1.7666666666666666,56.0,53.0
85,2020.0,1.2458286985539488,1.6666666666666667,56.0,50.0
86,2021.0,1.2458286985539488,1.7,56.0,51.0
87,2022.0,1.2458286985539488,1.5666666666666667,56.0,47.0
88,2023.0,1.2458286985539488,1.7,56.0,51.0
89,2024.0,1.2458286985539488,1.7333333333333334,56.0,52.0
90,2025.0,1.2458286985539488,1.7333333333333334,56.0,52.0
91,2026.0,1.2458286985539488,1.8,56.0,54.0
92,2027.0,1.2458286985539488,1.8333333333333333,56.0,55.0
93,2028.0,1.2458286985539488,2.0,56.0,60.0
94,2029.0,1.2458286985539488,1.9666666666666666,56.0,59.0
95,2030.0,1.2458286985539488,1.8333333333333333,56.0,55.0
96,2031.0,1.2458286985539488,1.8333333333333333,56.0,55.0
97,2032.0,1.2458286985539488,1.9333333333333333,56.0,58.0
98,2033.0,1.2458286985539488,1.9333333333333333,56.0,58.0
99,2034.0,1.2458286985539488,1.9333333333333333,56.0,58.0
100,2035.0,1.2458286985539488,1.9333333333333333,56.0,58.0
101,2036.0,1.2458286985539488,1.8666666666666667,56.0,56.0
102,2037.0,1.2458286985539488,2.0,56.0,60.0
103,2038.0,1.2458286985539488,1.9666666666666666,56.0,59.0
104,2039.0,1.2458286985539488,1.9666666666666666,56.0,59.0
105,2040.0,1.2458286985539488,1.9333333333333333,56.0,58.0
106,2041.0,1.2458286985539488,1.9666666666666666,56.0,59.0
107,2042.0,1.2458286985539488,1.9666666666666666,56.0,59.0
108,2043.0,1.2458286985539488,1.9666666666666666,56.0,59.0
109,2044.0,1.2458286985539488,1.9,56.0,57.0
110,2045.0,1.2458286985539488,1.8666666666666667,56.0,56.0
111,2046.0,1.2458286985539488,1.7333333333333334,56.0,52.0
112,2047.0,1.2458286985539488,1.8666666666666667,56.0,56.0
113,2048.0,1.2458286985539488,1.9,56.0,57.0
114,2049.0,1.2458286985539488,1.9,56.0,57.0
115,2050.0,1.2458286985539488,2.0,56.0,60.0
116,2051.0,1.2458286985539488,2.1,56.0,63.0
117,2052.0,1.2458286985539488,2.1,56.0,63.0
118,2053.0,1.2458286985539488,2.1333333333333333,56.0,64.0
119,2054.0,1.2458286985539488,2.2333333333333334,56.0,67.0
120,2055.0,1.2458286985539488,2.2333333333333334,56.0,67.0
121,2056.0,1.2458286985539488,2.2,56.0,66.0
122,2057.0,1.2458286985539488,2.2,56.0,66.0
123,2058.0,1.2458286985539488,2.2333333333333334,56.0,67.0
124,2059.0,1.2458286985539488,2.1333333333333333,56.0,64.0
125,2060.0,1.2458286985539488,2.2333333333333334,56.0,67.0
126,2061.0,1.2458286985539488,2.4,56.0,72.0
127,2062.0,1.2458286985539488,2.3,56.0,69.0
128,2063.0,1.2458286985539488,2.3333333333333335,56.0,70.0
129,2064.0,1.2458286985539488,2.433333333333333,56.0,73.0
130,2065.0,1.2458286985539488,2.3,56.0,69.0
131,2066.0,1.2458286985539488,2.2666666666666666,56.0,68.0
132,2067.0,1.2458286985539488,2.3,56.0,69.0
133,2068.0,1.2458286985539488,2.4,56.0,72.0
134,2069.0,1.2458286985539488,2.5,56.0,75.0
135,2070.0,1.2458286985539488,2.466666666666667,56.0,74.0
136,2071.0,1.2458286985539488,2.433333333333333,56.0,73.0
137,2072.0,1.2458286985539488,2.466666666666667,56.0,74.0
138,2073.0,1.2458286985539488,2.7666666666666666,56.0,83.0
139,2074.0,1.2458286985539488,2.5,56.0,75.0
140,2075.0,1.2458286985539488,2.466666666666667,56.0,74.0
141,2076.0,1.2458286985539488,2.433333333333333,56.0,73.0
142,2077.0,1.2458286985539488,2.566666666666667,56.0,77.0
143,2078.0,1.2458286985539488,2.466666666666667,56.0,74.0
144,2079.0,1.2458286985539488,2.3333333333333335,56.0,70.0
145,2080.0,1.2458286985539488,2.3666666666666667,56.0,71.0
146,2081.0,1.2458286985539488,2.466666666666667,56.0,74.0
147,2082.0,1.2458286985539488,2.4,56.0,72.0
148,2083.0,1.2458286985539488,2.3,56.0,69.0
149,2084.0,1.2458286985539488,2.2333333333333334,56.0,67.0
