,2070-2100
0,1.728846153846154
1,2.179393939393939
2,1.6135897435897437
3,1.5982222222222224
4,1.4046875
5,1.605357142857143
6,1.233921568627451
7,1.0702380952380954
8,1.8729166666666666
9,1.9069696969696968
10,1.798
11,1.4046875
12,1.0987777777777779
13,1.4983333333333335
14,0.9988888888888889
15,1.4101960784313727
16,1.2735833333333333
17,1.586470588235294
18,2.060208333333333
19,1.4983333333333335
20,3.2963333333333336
21,1.9977777777777779
22,1.7480555555555555
23,0.998888888888889
24,0.8813725490196078
25,1.605357142857143
26,2.179393939393939
27,2.663703703703704
28,2.3307407407407412
29,1.383076923076923
30,2.588030303030303
31,2.588030303030303
32,2.1226388888888885
33,2.846833333333334
34,2.1642592592592598
35,2.3545238095238097
36,2.2475
37,1.7480555555555555
38,2.2474999999999996
39,2.179393939393939
40,1.728846153846154
41,1.4983333333333335
42,1.2735833333333333
43,1.5982222222222224
44,1.728846153846154
45,2.1226388888888885
46,1.9593589743589743
47,1.9593589743589743
48,1.4983333333333337
49,0.8813725490196078
50,1.7123809523809528
51,2.043181818181818
52,3.7458333333333336
53,3.8956666666666675
54,2.996666666666667
55,3.852857142857143
56,4.120416666666666
57,3.596
58,3.4053030303030294
59,2.996666666666667
60,2.4347916666666674
61,1.9977777777777779
62,1.498333333333333
63,1.728846153846154
64,3.183958333333333
65,2.996666666666666
66,2.830185185185185
67,1.4983333333333335
68,1.6135897435897437
69,1.373472222222222
70,2.179393939393939
71,1.9593589743589743
72,1.9977777777777779
73,2.2475
74,0.998888888888889
75,2.5471666666666666
76,1.7123809523809528
77,1.498333333333333
78,2.996666666666667
79,2.996666666666667
80,2.996666666666667
81,5.493888888888888
82,5.493888888888888
83,2.746944444444444
84,2.8604545454545454
85,3.2963333333333336
86,2.097666666666667
87,1.8194047619047617
88,1.9069696969696968
89,1.7480555555555555
90,3.32962962962963
91,2.846833333333334
92,2.0334523809523812
93,1.3984444444444446
94,1.9977777777777779
95,2.060208333333333
96,1.7480555555555555
97,1.3220588235294117
98,1.7707575757575758
99,1.0373076923076923
100,2.4972222222222222
101,2.4972222222222222
102,1.0301041666666666
103,1.8194047619047617
104,3.1631481481481485
105,2.5471666666666666
106,3.933125000000001
107,5.137142857142858
108,4.744722222222222
109,3.829074074074074
110,3.1465000000000005
111,2.8604545454545454
112,1.605357142857143
113,1.4983333333333335
114,2.1226388888888885
115,3.7458333333333336
116,2.846833333333334
117,2.420384615384616
118,2.140476190476191
119,2.140476190476191
120,1.9069696969696968
121,1.0987777777777779
122,1.7123809523809528
123,1.798
124,0.9220512820512822
125,2.2475000000000005
126,2.746944444444444
127,1.9977777777777779
128,1.373472222222222
129,2.0746153846153845
130,2.31560606060606
131,2.3973333333333335
132,6.592666666666667
133,4.280952380952382
134,5.993333333333332
135,6.592666666666667
136,3.496111111111112
137,2.996666666666667
138,1.8441025641025643
139,1.9977777777777779
140,3.1328787878787874
141,3.4461666666666666
142,2.8814102564102564
143,2.597111111111112
144,2.420384615384616
145,2.650897435897436
146,2.0334523809523812
147,1.9977777777777779
148,2.588030303030303
149,1.5982222222222224
150,1.664814814814815
151,2.2974444444444444
152,2.8604545454545454
153,2.588030303030303
154,2.5471666666666666
155,1.8441025641025643
156,1.9264285714285716
157,2.2475
158,3.1631481481481485
159,4.3285185185185195
160,3.8956666666666675
161,2.746944444444444
162,3.1631481481481485
163,3.1631481481481485
