,Perc value hist eoc,Num hist eoc exceedances,Num PIC exceedances
192,448.13094604492187,48.0,109.0
193,484.67111328125,48.0,106.0
194,371.0392541503906,48.0,94.0
195,291.65857421874995,48.0,85.0
196,263.76836914062494,48.0,71.0
197,287.0678247070312,48.0,66.0
198,380.9148034667968,48.0,75.0
199,415.77102539062497,48.0,63.0
200,1090.4131640624998,48.0,98.0
201,1070.5554296875,48.0,96.0
202,1043.1335253906252,48.0,110.0
203,1018.6267187499999,48.0,138.0
204,976.4284130859374,48.0,152.0
205,940.0354150390623,48.0,149.0
206,881.7203222656248,48.0,148.0
207,841.1819116210936,48.0,137.0
208,780.957119140625,48.0,136.0
209,737.0511840820311,48.0,143.0
210,681.4254296875,48.0,136.0
211,633.1377050781249,48.0,136.0
212,593.2133642578125,48.0,123.0
213,565.3347973632813,48.0,121.0
214,536.8666308593749,48.0,110.0
215,551.4829687499999,48.0,109.0
216,580.6774951171875,48.0,121.0
217,692.6455737304686,48.0,118.0
218,602.9039379882812,48.0,117.0
219,407.974132080078,48.0,108.0
220,327.5883166503906,48.0,89.0
221,316.5050012207031,48.0,81.0
222,369.34300781249965,48.0,67.0
223,520.2472070312499,48.0,79.0
224,468.4447436523437,48.0,75.0
225,1151.79708984375,48.0,104.0
226,1122.888193359375,48.0,116.0
227,1102.3851367187497,48.0,130.0
228,1067.8832031250001,48.0,145.0
229,1046.9777441406252,48.0,162.0
230,998.2490624999999,48.0,172.0
231,947.980234375,48.0,160.0
232,897.0887841796874,48.0,161.0
233,843.6174291992187,48.0,148.0
234,795.4222045898435,48.0,141.0
235,745.2054565429685,48.0,149.0
236,700.9835766601562,48.0,152.0
237,668.2537548828125,48.0,139.0
238,650.892490234375,48.0,131.0
239,669.8469531249999,48.0,121.0
240,757.4761303710937,48.0,118.0
241,880.8621557617188,48.0,123.0
242,885.9672509765624,48.0,126.0
243,653.7688110351561,48.0,126.0
244,491.2942004394531,48.0,123.0
245,446.4278564453125,48.0,101.0
246,524.3103930664063,48.0,75.0
247,812.1134106445312,48.0,69.0
248,661.6431884765625,48.0,59.0
249,452.0901965332031,48.0,65.0
250,1178.578056640625,48.0,120.0
251,1161.40173828125,48.0,122.0
252,1142.042529296875,48.0,146.0
253,1106.3286181640622,48.0,151.0
254,1076.54439453125,48.0,166.0
255,1046.6272265625,48.0,177.0
256,996.5257299804687,48.0,180.0
257,950.6263793945309,48.0,172.0
258,917.4506713867187,48.0,162.0
259,868.478310546875,48.0,162.0
260,813.9115405273437,48.0,164.0
261,763.3897656249999,48.0,161.0
262,736.0459228515625,48.0,160.0
263,758.45140625,48.0,138.0
264,849.3426220703125,48.0,131.0
265,982.3972973632812,48.0,126.0
266,1027.4742871093747,48.0,130.0
267,870.3252148437498,48.0,137.0
268,659.0531884765625,48.0,138.0
269,527.5247460937501,48.0,147.0
270,479.57452392578085,48.0,131.0
271,546.1562841796874,48.0,111.0
272,637.5320800781249,48.0,113.0
273,367.79720581054687,48.0,100.0
274,307.6600354003906,48.0,119.0
275,1205.9137548828126,48.0,118.0
276,1191.3721826171875,48.0,148.0
277,1176.3818554687498,48.0,157.0
278,1155.461220703125,48.0,170.0
279,1128.2530761718751,48.0,165.0
280,1087.3967285156248,48.0,195.0
281,1037.5699609375,48.0,197.0
282,994.0206201171874,48.0,186.0
283,959.7767602539062,48.0,177.0
284,915.4944677734373,48.0,176.0
285,876.6781152343749,48.0,181.0
286,835.7608105468748,48.0,164.0
287,823.9867016601562,48.0,162.0
288,897.607861328125,48.0,144.0
289,1059.1972900390624,48.0,135.0
290,1139.499453125,48.0,135.0
291,1038.4309619140624,48.0,133.0
292,961.9174340820314,48.0,141.0
293,712.8312963867188,48.0,154.0
294,513.7375415039063,48.0,169.0
295,465.77196777343755,48.0,173.0
296,596.7099536132811,48.0,150.0
297,520.3954272460938,48.0,156.0
298,291.1406396484374,48.0,180.0
299,309.92552856445303,48.0,190.0
300,1227.6760498046872,48.0,137.0
301,1207.5833593749999,48.0,156.0
302,1204.66638671875,48.0,166.0
303,1177.2497656249998,48.0,167.0
304,1157.983837890625,48.0,179.0
305,1122.246142578125,48.0,201.0
306,1079.93455078125,48.0,200.0
307,1024.03849609375,48.0,193.0
308,981.5812792968749,48.0,181.0
309,954.3259960937498,48.0,185.0
310,930.8050830078124,48.0,196.0
311,913.1715332031247,48.0,189.0
312,953.9833813476562,48.0,156.0
313,1102.1480371093749,48.0,147.0
314,1296.0825048828126,48.0,129.0
315,1297.1301416015624,48.0,118.0
316,1260.1603759765626,48.0,114.0
317,1049.1193017578123,48.0,148.0
318,672.3141015625,48.0,197.0
319,526.4624365234374,48.0,204.0
320,590.41037109375,48.0,184.0
321,652.1372119140625,48.0,177.0
322,506.50587158203115,48.0,189.0
323,357.9974658203125,48.0,201.0
324,375.00569091796876,48.0,214.0
325,1253.2780957031248,48.0,176.0
326,1232.089208984375,48.0,168.0
327,1222.396689453125,48.0,180.0
328,1206.5803125,48.0,198.0
329,1181.150947265625,48.0,203.0
330,1158.384326171875,48.0,200.0
331,1114.671005859375,48.0,215.0
332,1062.6423535156246,48.0,193.0
333,1020.4637548828125,48.0,186.0
334,984.838820800781,48.0,192.0
335,986.72716796875,48.0,210.0
336,1017.2799047851561,48.0,193.0
337,1134.7151855468749,48.0,173.0
338,1333.7520019531248,48.0,143.0
339,1354.6094482421875,48.0,124.0
340,1430.7510498046872,48.0,114.0
341,1517.2449902343749,48.0,104.0
342,904.4010107421875,48.0,175.0
343,600.7883300781249,48.0,263.0
344,565.9558349609374,48.0,282.0
345,644.3606372070311,48.0,256.0
