,LA_300km_mm_total,LA_200km_mm_total,LA_100km_mm_total,SF_300km_mm_total,SF_200km_mm_total,SF_100km_mm_total
0,243.92045084635416,231.68694051106772,240.45632680257162,648.586669921875,702.3252182006836,737.746129989624
1,190.97709147135416,178.80606333414713,183.82247416178384,776.6071044921875,828.9358367919922,849.8346557617188
2,375.7375183105469,349.761223687066,348.7498088412815,1328.3384765625,1382.92578125,1397.7502937316895
3,321.8451232910156,321.23265245225696,307.1184811062283,674.4056640625,718.9304122924805,746.4808692932129
4,456.1990966796875,411.5757310655382,374.54007127549914,497.54624633789064,521.7957191467285,548.0965347290039
5,106.20725758870442,101.30229780409071,100.54275131225586,257.47222595214845,278.7391014099121,306.4409351348877
6,239.6890665690104,231.70579528808594,230.72770394219293,639.719189453125,683.6266784667969,706.0749034881592
7,158.4620564778646,156.34256829155817,165.14673953586154,609.2086303710937,633.8108558654785,641.5039863586426
8,278.45099385579425,260.3418494330512,250.05786980523004,729.8231323242187,780.3810729980469,810.8921661376953
9,238.09314982096353,223.22909376356336,223.33170403374567,657.2108032226563,710.0134735107422,746.9406051635742
10,783.1032307942709,698.105482313368,619.502453274197,716.2195434570312,775.3047561645508,860.2499809265137
11,526.250986735026,485.67519124348956,458.19482760959204,1043.363134765625,1111.4885177612305,1160.9004440307617
12,358.9080505371094,336.35393778483075,320.0385644700792,867.68037109375,917.9086608886719,962.8602447509766
13,323.06365458170575,302.38702901204425,296.6376376681858,687.4268310546875,721.2146072387695,754.3441772460938
14,263.2073211669922,245.55446200900607,233.2935553656684,617.193115234375,646.3455047607422,671.8828735351562
15,229.26277669270834,216.4192352294922,207.08836110432944,628.6708374023438,672.1693382263184,710.2252235412598
16,283.6299184163411,263.2132212320964,251.47897423638238,602.9888793945313,650.8020095825195,696.884069442749
17,81.39558283487956,78.34041298760309,84.86411031087239,396.5031799316406,428.063419342041,469.5071620941162
18,246.66681416829428,231.12793816460504,220.61988237169055,468.3937072753906,502.8296699523926,529.4482402801514
19,239.58867899576822,223.66042836507162,211.6432351006402,804.9706176757812,854.6273651123047,884.7668590545654
20,385.64524332682294,380.9640197753906,390.3548355102539,795.64677734375,847.8395233154297,875.3451995849609
21,238.6407725016276,224.70667351616754,211.30749469333225,428.8048156738281,467.2140197753906,506.9578685760498
22,620.797607421875,582.2071261935764,558.9021894666884,969.734375,1047.0266418457031,1132.7191352844238
23,503.81650797526044,460.53416612413196,416.69907718234595,623.0432983398438,677.5558395385742,736.5186824798584
24,24.478445053100586,24.77851210700141,27.50412729051378,192.01307067871093,216.56034660339355,246.2543830871582
25,361.3518473307292,334.3190460205078,324.55019124348956,1098.6596923828124,1142.7014694213867,1132.7442474365234
26,272.26552327473956,247.32567850748697,243.7544428507487,708.0987915039062,746.4428253173828,769.7973346710205
27,148.46755981445312,149.5059322781033,145.85079659356012,308.5897521972656,326.3049831390381,345.30073738098145
28,106.86242421468098,103.8463397555881,110.1110422346327,503.5940856933594,529.1189575195312,547.9165420532227
29,1094.5992635091145,989.2191365559896,902.8956027560764,1379.999169921875,1449.6055297851562,1512.8490982055664
30,246.67256673177084,232.58045281304254,254.852966732449,841.1498046875,898.5488433837891,932.2705154418945
31,187.08018493652344,179.3703409830729,181.37737231784396,646.3458862304688,689.195198059082,712.1261730194092
32,305.394780476888,279.35570441351996,267.0577023824056,805.1248291015625,855.1614456176758,899.8268013000488
33,245.93424479166666,231.43260701497397,227.62113910251193,812.9343383789062,863.0475692749023,886.7997589111328
34,205.6106694539388,194.34546576605902,205.5980765024821,787.7144165039062,838.0856704711914,872.5020561218262
35,236.76287841796875,220.1564415825738,217.71485985649957,859.7984741210937,914.7883758544922,943.053108215332
36,105.33912404378255,102.49451192220052,108.58559121025934,369.2684387207031,388.1991996765137,400.99646186828613
37,118.48654429117839,113.72685241699219,115.18258243136935,268.8655975341797,291.8262767791748,315.3547201156616
38,213.29279073079428,203.65386793348523,203.33241738213434,622.5645385742188,673.7001953125,727.478609085083
39,144.47068532307944,131.6771697998047,134.56462563408746,237.78538818359374,277.1093444824219,338.2377586364746
40,148.58711751302084,155.6450686984592,150.871459113227,471.4409484863281,475.8102569580078,469.4601058959961
41,237.48254903157553,217.33624098036023,207.45272233751086,458.88433227539065,487.0576705932617,507.4121742248535
42,252.31559244791666,240.38224622938367,238.78230624728732,859.1089965820313,878.4791793823242,869.3882293701172
43,139.7716293334961,146.8690702650282,158.9309255811903,487.36944580078125,518.7080726623535,545.3273773193359
44,454.5021464029948,436.2118903266059,405.36434343126086,1260.359814453125,1322.0769500732422,1334.331729888916
45,290.3746592203776,274.9324832492405,276.1498158772786,765.13330078125,816.6246719360352,857.9950160980225
46,202.94466145833334,190.85768212212457,208.11005401611328,746.6381713867188,790.7573547363281,811.0055770874023
47,133.60626475016275,129.6510730319553,134.81337292989096,317.49042358398435,337.39953231811523,358.96003341674805
48,195.64531962076822,186.60921054416232,179.55470954047308,446.67299194335936,489.5137405395508,530.3281021118164
49,231.84872436523438,227.02918497721353,230.254273308648,692.6244384765625,717.46728515625,728.7540340423584
50,1147.1083577473958,1060.872511121962,960.4829474555122,1095.7850830078125,1138.2931518554688,1176.4420623779297
51,326.84230041503906,310.2590637207031,301.947014702691,1073.1507934570313,1128.3078536987305,1153.0489501953125
52,289.6572977701823,268.47596571180554,260.83794996473523,450.20591430664064,498.49373626708984,549.3349800109863
53,237.99918111165366,225.09583028157553,218.84463840060764,413.1277160644531,443.42321395874023,476.5789337158203
54,722.8098754882812,685.0300903320312,660.3679267035591,1260.4412109375,1295.0012969970703,1308.2107391357422
55,236.68118286132812,215.23777431911893,212.05127334594727,618.0607482910157,672.4201622009277,711.9940147399902
56,794.6334431966146,749.1526624891493,690.9945458306206,949.5089477539062,1000.3866653442383,1051.2658653259277
57,207.2197011311849,186.90835740831164,168.8952990637885,557.8332397460938,607.1447105407715,660.9853363037109
58,365.5044352213542,346.1354709201389,341.5038002861871,1074.7072265625,1112.9993896484375,1101.7133445739746
59,555.9469502766927,509.76515028211804,471.30474938286676,1088.5015502929687,1144.554573059082,1176.752212524414
60,451.9684549967448,428.5683356391059,415.6430952284071,385.6162536621094,422.4457817077637,470.46331214904785
61,328.27513122558594,311.84794277615015,310.6618906656901,566.6486145019531,605.682445526123,637.9793224334717
62,592.6219278971354,549.7547437879774,517.7669779459635,1008.0850952148437,1080.7442169189453,1149.5272979736328
63,470.5850423177083,430.11565483940973,417.84811231825086,987.1651489257813,1064.7289199829102,1141.7032279968262
64,311.22633870442706,286.0868835449219,278.98187849256726,723.0301391601563,778.2240600585938,809.5237922668457
65,270.2340799967448,248.3851318359375,240.68039788140192,681.2477416992188,732.3118667602539,776.0352764129639
66,201.1256306966146,192.56763543023004,186.0635486178928,478.5766174316406,523.364688873291,557.7849559783936
67,199.6421356201172,191.20408969455295,181.6547088623047,511.7407470703125,552.704273223877,590.485200881958
68,180.39764912923178,169.6652586195204,169.8603752983941,605.760498046875,642.3313255310059,658.8953304290771
69,325.33555094401044,311.48294915093317,290.18534511990015,670.2305419921875,709.2432022094727,750.6004753112793
70,293.2063496907552,271.0331539577908,261.8209864298503,451.83592529296874,489.9265327453613,533.4890480041504
71,933.6867065429688,864.0109117296007,807.1914638943142,1363.9423583984376,1437.4052429199219,1515.1436080932617
72,228.0128428141276,207.8392808702257,198.76446278889975,542.4110046386719,601.4491386413574,666.8754386901855
73,249.4070027669271,239.84588623046875,231.94730122884116,676.0717163085938,726.7519950866699,751.7323932647705
74,233.50167846679688,225.99864196777344,225.00974316067166,755.1559204101562,789.8967819213867,783.2583293914795
75,433.7764892578125,394.7588399251302,385.72217602199976,1207.39267578125,1282.314956665039,1325.5925636291504
76,561.1627400716146,507.29395548502606,465.71947903103296,722.128857421875,759.1269302368164,794.185718536377
77,533.3135375976562,510.5357903374566,492.4652862548828,1041.0882080078125,1074.1247100830078,1078.8458137512207
78,638.6609598795573,592.0431382921007,556.2574615478516,1342.991015625,1408.1147766113281,1427.4594917297363
79,241.3917236328125,224.4149373372396,228.6857532925076,597.5702209472656,642.5790519714355,696.6733207702637
80,176.53252156575522,170.5861384073893,184.56243345472546,453.9374694824219,492.62881088256836,526.7184286117554
81,397.3255106608073,366.34844970703125,351.08462609185113,832.840380859375,901.6948318481445,956.4864921569824
82,723.3499348958334,670.1814371744791,634.3809475368923,1204.6107177734375,1253.0818176269531,1277.6405982971191
83,252.21485392252603,233.4986538357205,225.96128506130643,803.8879150390625,871.2398681640625,913.4822120666504
84,266.0411682128906,264.4043460422092,259.3840518527561,641.0106811523438,692.5261611938477,734.8902988433838
85,293.8590850830078,278.78251308865015,275.801769680447,730.9350463867188,788.4369201660156,844.2082710266113
86,276.9820912679036,259.23599582248266,251.4714363945855,558.5018981933594,600.5076942443848,637.3337917327881
87,393.57276407877606,368.15091620551215,360.58413950602215,814.28671875,863.1309051513672,889.3444747924805
88,111.37528737386067,108.0794317457411,112.99675835503473,266.96266479492186,302.78087997436523,344.42861557006836
89,334.8198954264323,314.9320254855686,305.69754367404516,953.4672973632812,1005.2306365966797,1025.31099319458
90,163.92241414388022,152.3330052693685,152.04260296291775,436.6793151855469,474.3177680969238,506.1938934326172
91,614.7724914550781,569.4100138346354,538.7359636094835,823.8173583984375,900.8139953613281,986.9261054992676
92,143.00422159830728,136.75829315185547,140.9353438483344,352.5977722167969,373.6161880493164,398.2907066345215
93,114.70182291666667,111.37836456298828,105.77851062350803,430.785205078125,484.355281829834,539.1728448867798
94,118.5297368367513,112.62543063693576,111.42250039842394,417.3321044921875,450.09397888183594,477.24957275390625
95,116.71961466471355,111.53274620903863,124.55447747972276,435.7717346191406,486.17187118530273,540.6881523132324
96,157.56684112548828,148.2962120903863,153.91996807522244,591.2694519042968,647.4769668579102,710.207202911377
97,253.12112935384116,237.641354031033,244.77223036024304,359.9893310546875,391.6265754699707,432.39348793029785
98,360.35321044921875,328.5425330268012,305.8208401997884,598.609423828125,647.0519714355469,701.2061500549316
99,321.9226888020833,289.7869177924262,276.13204277886285,907.366845703125,979.6252975463867,1032.556972503662
100,320.91436258951825,307.32157728407117,306.05081770155164,878.1189331054687,918.5822067260742,938.7243309020996
101,824.8653157552084,746.2863972981771,689.9087422688802,977.3161987304687,1036.575080871582,1100.4862213134766
102,733.9219767252604,687.8472391764323,653.9074113633898,1524.4759033203125,1589.1524810791016,1606.2990341186523
103,142.29914347330728,133.147213406033,134.9142263200548,469.05906372070314,510.77709197998047,540.8702125549316
104,614.2445475260416,569.1218465169271,539.4761912027994,1207.39970703125,1276.1861114501953,1324.4786262512207
105,272.8218129475911,266.5476430257161,262.2763515048557,802.4989868164063,869.483512878418,906.4567031860352
106,364.7327067057292,346.31021965874567,343.82408311631946,1056.4561767578125,1127.212173461914,1180.0807075500488
