,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,101,102,103,104,105
0,149.7500457763672,188.7617908053928,167.91338602701822,362.37327575683594,394.48780314127606,131.5687493218316,283.7580396864149,709.0294053819445,262.2999572753906,247.51672193739148,299.6449618869358,259.6570790608724,234.19175889756946,67.21773444281683,380.6298997667101,645.2982618543837,590.8146023220486,123.6818021138509,400.48537190755206,155.93672264946832,304.66905721028644,300.9225311279297,233.02788628472223,250.0367177327474,579.0012783474392,261.14395989312067,378.486823187934,407.98074679904516,494.25854831271704,127.04323493109808,96.48778873019748,149.31706068250867,705.2751261393229,259.5842115614149,246.21329752604166,399.46651543511285,669.5286865234375,165.19766574435764,355.2695787217882,337.7312927246094
1,138.52986907958984,635.8399285210503,435.3301951090495,557.9894443088108,223.6239217122396,165.61981285942926,175.83121151394315,301.46795145670575,568.3978203667534,341.4259151882595,658.6726006401909,86.84205839369032,411.7218085394965,209.8301255967882,121.04274325900607,317.63407728407117,331.9991929796007,226.40831163194446,205.69784884982639,385.8705308702257,441.88709513346356,281.5458051893446,237.42933146158853,328.967785305447,317.6184726291233,212.58459303114148,191.4197497897678,226.44488186306424,324.57747226291235,294.912592569987,230.79300944010416,181.82378726535373,447.7815653483073,224.82163831922742,355.4453938802083,297.1459486219618,119.89949289957683,207.20078362358942,520.17529296875,474.81428697374133
2,261.3916252983941,522.8914354112413,101.69974856906467,285.3782433403863,145.564700656467,298.69607713487414,164.46645270453558,99.29887813991971,572.9525824652778,273.1127014160156,577.3673807779948,185.2245398627387,183.73213873969183,152.82062106662326,82.25673166910808,285.11009724934894,113.39156299167209,575.4955410427517,189.3747355143229,819.8846978081597,174.92511071099176,163.42689683702258,603.4050903320312,195.88796657986111,124.72472212049696,276.5707499186198,163.8800286187066,353.81566365559894,282.399425930447,246.06357150607639,222.81734720865884,230.4938269721137,688.325208875868,327.65124850802954,439.4510904947917,741.2661302354601,213.06419033474393,445.5104675292969,200.03538174099393,403.54163614908856
3,275.27967156304254,206.91674635145398,379.2924635145399,193.06053670247397,172.7663057115343,206.20050048828125,353.98047214084204,203.6886240641276,250.4020741780599,466.9755452473958,402.09559461805554,357.75865342881946,313.7798021104601,439.38538953993054,183.4689737955729,285.42436048719617,279.6985897488064,321.4808349609375,423.71496921115454,268.4347669813368,250.52070109049478,466.4395751953125,597.471703423394,683.7249891493055,312.2221323649089,187.99507988823785,546.2411295572916,146.785888671875,147.1124471028646,248.46290079752603,250.08674960666232,712.3891398111979,142.52355787489148,252.60327996148004,557.7437235514323,478.0222913953993,292.63838873969183,366.16397772894965,234.4557630750868,337.9380357530382
4,661.4398159450955,396.12079535590277,156.52756076388889,188.5213385687934,151.86173248291016,613.3664245605469,533.668969048394,595.8432922363281,372.73653496636285,242.09710015190973,95.12700356377496,330.8016086154514,137.50519137912326,529.479970296224,486.492431640625,299.980470445421,197.52250247531467,760.7152167426216,551.704104953342,394.75160725911456,985.8946668836805,687.4180230034722,147.79456668429904,426.021728515625,532.7510308159722,305.6387532552083,280.70979987250433,371.50254991319446,203.9627227783203,252.04830932617188,263.1623942057292,853.9190063476562,226.0028330485026,264.63004387749567,901.7594740125868,126.39315117730035,335.4720645480686,600.8008897569445,490.23275078667535,420.7833523220486
5,383.9251658121745,279.09610324435766,172.03487820095486,341.73480902777777,133.84819878472223,660.1703898111979,323.4205373128255,331.6595187717014,453.6273261176215,183.66140747070312,230.93388027615018,122.35848405626085,119.25009155273438,223.47205946180554,239.93816969129773,587.9512295193142,459.83197699652777,297.64537556966144,349.8166775173611,80.72311486138238,303.85783216688367,170.20973544650607,347.8332163492839,68.16856045193143,252.22119140625,410.5555114746094,131.142945183648,776.624755859375,198.3806355794271,288.92877197265625,303.2647433810764,205.3724568684896,268.4260440402561,206.1088663736979,142.74620056152344,283.748289320204,412.4327867296007,461.96999104817706,453.30120849609375,679.4251064724392
6,430.6416829427083,210.37841796875,606.6683044433594,328.98053148057727,636.6753980848524,216.89793311225043,520.6494988335503,825.6087510850695,240.58116658528647,71.48288938734267,233.49385240342883,521.4976840549045,107.37647755940755,447.1774597167969,303.28014797634546,148.48179033067493,81.43755043877496,667.2913072374132,231.98339674207898,156.21409946017795,69.85375213623047,119.77011617024739,571.0941263834635,69.54540125528972,266.0237053765191,370.0967271592882,168.72982533772787,93.82119199964735,468.61148410373266,139.2107654147678,138.54693433973523,273.7940199110243,344.333735148112,430.7940945095486,184.38239118787976,145.13265906439887,122.21846516927083,298.2529585096571,150.94078487820096,210.71284654405383
7,282.93655734592016,76.32727177937825,449.13189697265625,62.5395999484592,621.5257331000435,156.11292182074652,96.90453296237521,363.8585374620226,205.4039798312717,283.131354437934,348.0457933213976,272.2862786187066,258.6392839219835,368.83628336588544,318.7797393798828,129.95688120524088,150.7399436102973,138.35890197753906,89.65356953938802,197.287838406033,135.42990366617838,105.6842753092448,227.78227742513022,140.52281443277994,220.59175279405383,318.5155978732639,275.7068159315321,117.1391135321723,421.0369466145833,404.804938422309,124.65254635281033,527.2086859809028,491.7609354654948,720.8498602973091,304.30390082465277,399.78382703993054,447.4137946234809,136.50803714328342,298.583977593316,109.039304945204
8,218.73977830674914,304.2843322753906,231.34533521864148,294.3235100640191,376.495123969184,93.67953406439887,238.48041788736978,369.3040059407552,557.9774678548177,339.56341552734375,154.14094882541232,478.85461086697046,92.66279559665256,403.5426534016927,246.14251200358072,138.70235273573132,221.3280232747396,256.25248379177515,486.81141493055554,173.08502451578775,288.62864685058594,642.9371168348524,145.32622528076172,213.40390353732639,308.40663146972656,293.14076063368054,426.78101603190106,59.00999535454644,305.59198167588977,547.3143513997396,174.1972130669488,367.7490539550781,22.072691599527996,467.38440958658856,132.28527662489148,423.7175530327691,225.49341837565103,76.40393786960178,125.74528927273221,228.98058403862848
